Chapter Number,ChapterName,SubChapterName,TestNumber,QuestionNumber,"Metal with electronic configuration 2,8, 14, 2 can form two different hydrox- ides A and B. Both the hydroxides on reaction with sulphuric acid give two",Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Measurement,6.Multiples in Ten,Formative Worksheet,1,"Amount of work done is 10 Joule, here 10 stands for ",Unit,Numerical value ,Both (1) and (2),None of these,,"A,B,C,D",,
1,Measurement,6.Multiples in Ten,Formative Worksheet,2,Which plysical quantity unit is ame in all systems,Length,Mass,Time,Temperature,,C,,
1,Measurement,6.Multiples in Ten,Formative Worksheet,3,1 Cm<sup>2</sup> = _______________,10<sup>4</sup> m<sup>2</sup>,10<sup>3</sup> m<sup>2</sup>,10<sup>2</sup> m<sup>2</sup>,10<sup>2</sup> nm<sup>2</sup>,,a,,
1,Measurement,6.Multiples in Ten,Formative Worksheet,4,10 kg m<sup>-3</sup> = ____________ g cm<sup>3</sup>,1000,1,10<sup>-2</sup>,100,,c,,
1,Measurement,6.Multiples in Ten,Formative Worksheet,5,Which of the following are the examples for plysical quantity?,Length,area,force ,energy,,"A,B,C,D",,
1,Measurement,6.Multiples in Ten,Formative Worksheet,6,Convert 100 quintal into nano grams (ng).,10<sup>5</sup> ng,10<sup>16</sup> ng,10<sup>17</sup> ng,10<sup>18</sup> ng,,B,,
1,Measurement,6.Multiples in Ten,Formative Worksheet,7,Convery 1 second into day,"1/86,400 Day",24 day,1/24 day,1/3600 day,,a,,
1,Measurement,6.Multiples in Ten,Formative Worksheet,8,I hectare = _______________,10<sup>2</sup> cm<sup>2</sup>,10<sup>4</sup> cm<sup>2</sup>,10<sup>6</sup> cm<sup>2</sup>,10<sup>8</sup> cm<sup>2</sup>,,b,,
1,Measurement,6.Multiples in Ten,Formative Worksheet,9,16 kgm<sup>3</sup> = ______________ g/cm<sup>3</sup>,16 x 10<sup>-3</sup>,26 x 10<sup>-6</sup>,36 x 10<sup>-3</sup>,46 x 10<sup>-3</sup>,,a,,
1,Measurement,6.Multiples in Ten,Formative Worksheet,10,"If 1 nano gram = 10<sup>x</sup> milligram, the x = ___",6,-6,9,-9,,b,,
1,Measurement,6.Multiples in Ten,Formative Worksheet,11,Match the following,"A->r,B->s,C->p,D->t","A->s,B->p,C->r,D->t","A->t,B->r,C->s,D->p","A->t,B->p,C->s,D->r",CH1-FW11,a,,
1,Measurement,6.Multiples in Ten,Formative Worksheet,12,Choose the correct statement,Nume of fundamental quantities are limited,"In M.K.S. System, there are 7 fundamental quantities",Nume of fundamental quantities are unlimited,Units of fundamental quantities in M.K.S. is same as in SI,,a,,
1,Measurement,6.Multiples in Ten,Formative Worksheet,13,Choose the correct options,nim is not same as mN,12 nm = 10<sup>-9</sup>m and 1mN = 10<sup>-3</sup>N.,"When we change the unit of measurement of a quantity, its numerical value changes","Smaller the unit of measurement, smaller is its numerical value.",,"B,C",,
1,Measurement,6.Multiples in Ten,Formative Worksheet,14,"Statement - I : Meter is the standard by which we can measure length.
Statement - II : Second is the standard by which we can measure time.","Both Statement are true , Statement - II is the correct explanation of Statement - I","Both Statement are true , Statement - II is not correct explanation of Statement - I","Statement - I is true, Statement - II is false","Statement - I is false, Statement - II is true.",,B,,
1,Measurement,6.Multiples in Ten,Formative Worksheet,15,"Statement - I : Fundamental units are the units of measuring fundamental quantities
Statement - II : Metre is the unit of length.","Both Statement are true , Statement - II is the correct explanation of Statement - I","Both Statement are true , Statement - II is not correct explanation of Statement - I","Statement - I is true, Statement - II is false","Statement - I is false, Statement - II is true.",,B,,
1,Measurement,6.Multiples in Ten,Formative Worksheet,16,Match the following,A- q; B- t; c- p,A- q; B- p; c- t,A- p; B- q; c- t,A- t; B- q; c- p,CH1-FW16,B,,
1,Measurement,6.Multiples in Ten,Formative Worksheet,17,Match the following,"(A) Derived unit - Newton
(B) Fundamental unit - Kilogram
(C) Derived quantity - Area
(D) Fundamental quantity - Height and thickness
","(A) Derived unit - Area
(B) Fundamental unit - Kilogram
(C) Derived quantity - Newton
(D) Fundamental quantity - Height and thickness
","(A) Derived unit - Height and thickness
(B) Fundamental unit – Area
(C) Derived quantity - Kilogram
(D) Fundamental quantity - Newton
","(A) Derived unit - Kilogram
(B) Fundamental unit - Newton
(C) Derived quantity - Height and thickness
(D) Fundamental quantity – Area
",CH1-FW17,a,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,1,Physical quantity = Numerical value x ________,Standard number,Standard Unit,Standard Value`,Non of these,,B,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,2,To measure any physical quantity __________ should be required,Time,Mass,Unit,Length,,C,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,3,The S.I. System has how many basic units ?,15,7,10,8,,B,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,4,60 Kilogram is short form is written as,60 kg,60 Kg,Both (A) and (B),None,,C,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,5,Which among the following is the international system of units?,S.I.,F.P.S.,C.G.S. ,M.K.S.,,a,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,6,A physical quantities which are independent of other physical quantities are,Fundamental quantities,dervied quantities,Both (A) and (B),Neither fundamental nor derivered,,a,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,7,Unit of area is a ,Derived Units,Fundamental Unit,Both (A) and (B),None of these,,a,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,8,The unit of speed is a ,Fundamental unit,Derived Unit,Neither of above,Cannot say,,b,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,9,Which of the following derived quantities ,Speed,Velocity,Perimeter,Both (A) and (B),,D,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,10,Which of the following quantities are used to derive the quantity density,Mass,Area,Volume,Both (A) and (B),,D,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,11,Which of the following are fundamental quantities,Length,Height,Radius,All of these,,D,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,12,The symbol for unit of force in M.K.S.,n ,Numerical value ,nN,None of these,,D,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,13,One metric tonne = ___________ quintal,10000,1000,100,10,,D,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,14,1 fermi is euqal to how many centimetre,10<sup>-15</sup> cm,10<sup>-13</sup> cm,10<sup>-12</sup> cm,10<sup>-10</sup> cm,,B,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,15,How many centimetre make 1 non metre,10<sup>-7</sup> cm,10<sup>-5</sup> cm,10<sup>-15</sup> cm,10<sup>-10 cm,,A,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,16,1 k m<sup>2</sup> = _____________,1 hectar,10 hectares,100 hectares,1000 hectares,,C,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,17,1 litre = ____________,1000 ml,1000 cc,Both (A) and (B),None of these,,C,,
1,Measurement,6.Multiples in Ten,Conceptive Worksheet,18,1 Cm<sup>2</sup> = _______________,10<sup>-10</sup> km<sup>2</sup>,10<sup>-8</sup> hectares,10<sup>-4</sup> m<sup>2</sup>,All of these,,D,,
