Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,1,_________ can be classified chemically into pure substances and mixtures.,,,,,,Matter,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,2,Both elements and compounds are ______ substances.,,,,,,Pure,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,3,A special technique used for separation and identification of the constituents in the mixture is __________.,,,,,,Chromotography,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,4,A mixture of sulphur and charcoal can be separated by ______ method,,,,,,Solvent extraction,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,5,Magnesium sulphate in water is a _______ mixture.,,,,,,Homogeneous,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,6,A mixture of iodine and sane are separated by method of __________,,,,,,Sublimation,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,7,"During separation of CO~2* and hydrogen gas by diffusion the gas that diffuses liquesfaction, the component _____ liquesfies.",,,,,,Hydrogen,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,8,"During separation of CO~2* and O~2* by the process of preferential liquefaction, the component _______ liquefies.",CO~2*,CO,H~2*0,O~2*,,A,,MCQ
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,9,A mixture of oil and water can be separated by using _________.,,,,,,Separating Funnel,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,10,The number of atoms present in the molecule of an element is called its _________,,,,,,Atomicity,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,11,Compounds are formed by chemically combining elements in a ______ proportion by weight.,,,,,,Definite,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,12,During distillation of iodine and methyl alcohol the non volatile substance is _________,,,,,,Iodine,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,13,A mixture of barium sulphate and H~2*O can be separated by the method of ___________,,,,,,Filteration,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,14,The principle of difference in boiling points of liquid is used in the _________.,,,,,,Fractional distillation,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,15,Soda water can be separated by ________ the pressure.,,,,,,Lowering,,FIB
1,Matter and Its classification,Summative Exercise,True / False,16,Distilled water cannot be separated into its constituents by physical methods.,,,,,,1,,TF
1,Matter and Its classification,Summative Exercise,True / False,17,Separation of CCl~4* from CS~2* can be carried out by separating funnel method.,,,,,,0,,TF
1,Matter and Its classification,Summative Exercise,True / False,18,Baking soda is a compound.,,,,,,1,,TF
1,Matter and Its classification,Summative Exercise,True / False,19,Sand and sawdust can be separated by gravity method.,,,,,,1,,TF
1,Matter and Its classification,Summative Exercise,True / False,20,A homogeneous mixture of two liquids can be separated using fractional distillation method.,,,,,,1,,TF
1,Matter and Its classification,Summative Exercise,True / False,21,A hndful of soil is homogeneous mixture of solids,,,,,,0,,TF
1,Matter and Its classification,Summative Exercise,True / False,22,A mixture of glucose water ca be separated by the method of evaporation.,,,,,,1,,TF
1,Matter and Its classification,Summative Exercise,True / False,23,The properties of compounds are same from those of the elements of which they are mode.,,,,,,0,,TF
1,Matter and Its classification,Summative Exercise,True / False,24,The melting and boiling points of a mixture is fixed depending on the proportions of its compoments it is made of.,,,,,,1,,TF
1,Matter and Its classification,Summative Exercise,True / False,25,The components of a mixture ca never be separated by physical methods.,,,,,,0,,TF
1,Matter and Its classification,Summative Exercise,Match the Following,26,Match the following,"A-t, B-s, C-p, D-r, E-q","A-t, B-s, C-p, D-q, E-r","A-t, B-s, C-q, D-r, E-p","A-q, B-s, C-p, D-r, E-t",CH-1-26-ROW-27,A,,MCQ
1,Matter and Its classification,Further Practice,Multiple Choice Questions,1,Which of the following mixtures will be the most difficult to separate,Iron filling (powder) + Sand,Sand + Water,Sawdust + stones,Nitrogen + Hydrogen,,D,,MCQ
1,Matter and Its classification,Further Practice,Multiple Choice Questions,2,"You can separate a mixture of sand, salt and water by",filtration and distillation,decantation and evaporation,filtration and decantation,Decantation and crystallization,,B,,MCQ
1,Matter and Its classification,Further Practice,Multiple Choice Questions,3,In an experiment oxygen was added to hydrogen and heated.  On burning a substance containing both oxygen and hydrogen water was formed. What is this substance?,Element,Compound,solution,Mixture,,B,,MCQ
