Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Measurement ,Summative Exercise,Fill in the Blanks,1,Volume is a derived quantity of _________,,,,,,Length,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,2,SI Unit of energy is __________.,,,,,,Joule,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,3,A speed of 90 km h^-1& ius equal to ________ m s^-1&,,,,,,25,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,4,Symbol of candela is _________,,,,,,Cd,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,5,The force of gravity with which a body is attracted towards the centre of the earth is __________,,,,,,Weight,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,6,The pitch of screw of a screw guage that advances 5 mm for 5 complete rotations of its head is __________,,,,,,1 mm,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,7,"If zero of the head scale is below the index line, then the error is said to be _______",,,,,,positive,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,8,__________ g make 8.6 tonnes,8.6 x 10^6&,8.6 x 10^3&,8.6 x 10^4&,8.6 x 10^7&,,a,,MCQ
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,9,"If the zero of a vernier lies in between 4.6 cm and 4.7 cm on main scale, the MSR is ________.",,,,,,4.6 cm,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,10,A _________ unit does not change with respect of space and time.,,,,,,standard,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,11,The number of divisions on head scale of a screw gauage of least count 0.01 mm with a pitch of 1.2 mm is _________.,,,,,,120,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,12,1 h 18 min = ____________ s.,,,,,,4680,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,13,_________ decades make 2009 years.,“200:90:00”,“20:09:00”,“200:09:00”,“2000:09:00”,,c,,MCQ
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,14,"If the level of water raises from 60 cm^3& to 80 cm%3& on placing a stone x into a measuring jar, then the volume of the stone is ______ litre.",,,,,,0.02,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,15,"In a given place, two pendulums of same length, have same ________.",,,,,,Time periods,,FIB
1,Matter and Its classification,Summative Exercise,Fill in the Blanks,16,The standard quantity used for comparison is called _________,,,,,,units,,FIB
