Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Crop Production & Management,Master Boards,,1,Supply of water to crops at appropriate intervals is called,Irrigation,Cultivation,Harvesting,Sowing,,a,,MCQ
1,Crop Production & Management,Master Boards,,2,Which instrument is used for spraying weedicides?,Sprayer,Cultivator,Plough,Combine,,a,,MCQ
1,Crop Production & Management,Master Boards,,3,The process of separation of grain from the chaff after harvesting is known as,Tiling,Threshing,Spraying,Weeding,,b,,MCQ
1,Crop Production & Management,Master Boards,,4,"The government agency responsible for purchasing grains from the farmers, safe storage and distribution is",CBI,FBI,FCI,FDI,,c,,MCQ
1,Crop Production & Management,Master Boards,,5,"In agriculture, broadcasting is used for",Ploughing the fields,Rotating the crops,Removing the weeds,Sowing the seeds,,d,,MCQ
1,Crop Production & Management,Master Boards,,1,"Assertion : Crop improvement can be done by breeding new varieties of crops having higher yields.
Reason : The main aim of plant breeding is to produce new crops superior to existing one.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are correct, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect.,If Assertion is incorrect but Reason is correct.,,b,,AR
1,Crop Production & Management,Master Boards,,2,"Assertion : Use of fertilizers enhances the crop productivity.
Reason : Irrigation is very important in increasing crop productivity.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are correct, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect.,If Assertion is incorrect but Reason is correct.,,b,,AR
1,Crop Production & Management,Master Boards,,3,"Assertion : Gram and cloves are Rabi crops.
Reason : They are grown during the months of November to April.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are correct, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect.,If Assertion is incorrect but Reason is correct.,,a,,AR
1,Crop Production & Management,Master Boards,,4,"Assertion : Ploughing soil is a pre-requisite before sowing.
Reason : At the end of the plough, a sharp chesel like iron nail is attached, which helps in ploughing the soil.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are correct, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect.,If Assertion is incorrect but Reason is correct.,,b,,AR
1,Crop Production & Management,Master Boards,,5,"Assertion : Manure and biofertilizers should be used in place of chemical fertilizers
Reason : Chemical fertilizers cause pollution by releasing excess nutrients in water bodies.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are correct, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect.,If Assertion is incorrect but Reason is correct.,,a,,AR
