Select a pure substance,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,1,Which of the following is not correct for thermosetting polymers?,Heavily branched polymer because of cross linking.,Become infusible on moulding so cannot be reused.,"Soften on heating and harden on cooling, can be reused",None of these,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,2,Soft drinks and baby feeding bottles are generally made up of,Polyurethane,Polyester,Polystyrene,Polyamide,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,3,Which of the following is not the use of Bakelite?,In electrical switches,Handles of various utensils,In making combs,In making raincoats,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,4,Which of the following is the corect set polymers that occurs naturally?,Starch and nylon,Cellulose and rayon,Starch and cellulose,Protein and melamine,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,5,Which of the following is incorrect?,Plastic is big threat to environment.,Rayon is produced from natural cellulose obtained from wood pulp,Both starch and cellulose are polymers of glucose.,The repeating unit of natural rubber is poly-trans isoprene,,d,,MCQ
1,Synthetic Fibres and Plastics,Assertion - Reason,,1,"Assertion : Vulcanization increases the hardness to natural rubber.
Reason : Vulcanization is done by adding sulphur to the natural rubber. It forms bridges between individual polymer molecules.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,a,,AR
1,Synthetic Fibres and Plastics,Assertion - Reason,,2,"Assertion : Teflon has high thermal stability and chemical inertness.
Reason : Teflon is a thermosetting plastic.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,c,,AR
1,Synthetic Fibres and Plastics,Assertion - Reason,,3,"Assertion : Acrylic fabrics are similar to wool.
Reason : Acrylic fabrics are derived from wool.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,c,,AR
1,Synthetic Fibres and Plastics,Assertion - Reason,,4,"Assertion : A material which is not easily decomposed by natural processes is termed as biodegradable.
Reason : Plastic bags take several years to degenerate.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,d,,AR
1,Synthetic Fibres and Plastics,Assertion - Reason,,5,"Assertion : Esters have fruity smell.
Reason : Esters polymerise to form polyester, which are thermoplastic polymer.",If both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"If both Assertion and Reason are corect, but Reason is not the correct explanation of Assertion.",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct.,,b,,AR
1,Synthetic Fibres and Plastics,Fill in the Blanks,,1,_____________ is called artificial silk.,Rayon,,,,,,,FIB
1,Synthetic Fibres and Plastics,Fill in the Blanks,,2,A thermosetting plastic can be used __________,Only Once,,,,,,,FIB
1,Synthetic Fibres and Plastics,Fill in the Blanks,,3,Base raw material for rayon is _________,Cellulose,,,,,,,FIB
1,Synthetic Fibres and Plastics,Fill in the Blanks,,4,Tensile strength of nylon is __________ than that of cotton,More,,,,,,,FIB
1,Synthetic Fibres and Plastics,Fill in the Blanks,,5,Melamine is a thermo _____________ plastic.,Setting,,,,,,,FIB
1,Synthetic Fibres and Plastics,Fill in the Blanks,,6,_____________ is the synthetic fibre used as wool.,Acrylic,,,,,,,FIB
1,Synthetic Fibres and Plastics,Fill in the Blanks,,7,The synthetic fibres are also known as _________ fibres.,Man-made,,,,,,,FIB
1,Synthetic Fibres and Plastics,Fill in the Blanks,,8,The first fully synthetic fibre was ___________,Nylon,,,,,,,FIB
1,Synthetic Fibres and Plastics,Fill in the Blanks,,9,A plastic used for making crockery is ___________,Melamine,,,,,,,FIB
1,Synthetic Fibres and Plastics,True / False,,1,Rayon is a semi-synthetic fibre.,1,,,,,,,TF
1,Synthetic Fibres and Plastics,True / False,,2,Nylon is corrosion resistant.,1,,,,,,,TF
1,Synthetic Fibres and Plastics,True / False,,3,PVC is a thermo setting plastic.,0,,,,,,,TF
1,Synthetic Fibres and Plastics,True / False,,4,Bakelite is thermosetting plastic.,1,,,,,,,TF
1,Synthetic Fibres and Plastics,True / False,,5,Polyester is a thermoplastic.,1,,,,,,,TF
1,Synthetic Fibres and Plastics,True / False,,6,Common name of PETE is terylene.,1,,,,,,,TF
1,Synthetic Fibres and Plastics,True / False,,7,Polystyrene foam is used as an insulating and packaging material.,1,,,,,,,TF
1,Synthetic Fibres and Plastics,True / False,,8,Plastics do not corrode or rust.,1,,,,,,,TF
1,Synthetic Fibres and Plastics,True / False,,9,Most plastiçs are biodegradable.,0,,,,,,,TF
1,Synthetic Fibres and Plastics,True / False,,10,Plastic melamine is fire resistant.,1,,,,,,,TF
1,Synthetic Fibres and Plastics,True / False,,11,Bakelite is a soft and flexible plastic.,0,,,,,,,TF
1,Synthetic Fibres and Plastics,True / False,,12,Polyesters are purely synthetic fibres.,1,,,,,,,TF
1,Synthetic Fibres and Plastics,True / False,,13,Rayons are derived from cellulose.,1,,,,,,,TF
1,Synthetic Fibres and Plastics,True / False,,14,Acrylics are crimpy and are a substitute for natural rubber wool.,1,,,,,,,TF
1,Synthetic Fibres and Plastics,True / False,,15,Synthetic fibres are generally hydrophilic.,0,,,,,,,TF
1,Synthetic Fibres and Plastics,True / False,,16,We can mould plastics into various shapes because of the property of elasticity in them.,0,,,,,,,TF
1,Synthetic Fibres and Plastics,Macth the following,,1,Match Column-I with Column-II and select the correct answer using the code given below the columns.,A - (r); B - (p); C - (q): D - ( s),A - (s); B - (p): C- (q): D - (r),A - (r); B - (q); C - (p); D - (s),A - (r); B - (s); C - (q); D - (p),CH-1-1-ROW-37,a,,MCQ
1,Synthetic Fibres and Plastics,Macth the following,,2,Match Column-I with Column-II and select the correct answer using the code given below the columns.,A - (p); B - (s); C- (q); D - (r),A - (r); B - (s); C - (g); D - (p),A - (s); B - (r); C - (q): D - (p),A - (r); B - (s); C - (p); D - (q),CH-1-2-ROW-38,b,,MCQ
1,Synthetic Fibres and Plastics,Macth the following,,3,Match Column-I with Column-Il and select the correct answer using the code given below the columns.,A - (r); B - (p); C - (s); D - (q),A - (q); B - (p); C - (s); D - (r),A - (r); B - (p); C - (q); D - (s),A - (s); B - (p); C - (r); D - (q),CH-1-3-ROW-39,a,,MCQ
1,Synthetic Fibres and Plastics,Macth the following,,4,Which of the following represents the correct match for items in Column I with those in Column II,"A - (q), B - (r), C - (p)","A - (g), B - (p), C - (r)","A - (r), B - (p), C - (q)","A - (r), B - (q), C - (P)",CH-1-4-ROW-40,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,1,Which of the following statements is true for thermoplastic and thermosetting plastic?,"Thermosettings are permanent setting resins but thermoplastics are not, since they can be softened on cooling",Thermoplastics are less brittle as compared to thermosettings because of the absence of long chain polymers,"Themosettings are more brittle as compared to thermoplastics because of the presence
of strong bonds",The chemical nature of thermoplastics can be changed by repeated heating and cooling.,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,2,Select the one that is a natural polymer.,"Nylon 6,6",Polyester,Cellulose,None of these,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,3,Select the synthetic polymerwhose filament was first obtained that could be streched several times its original length.,Nylon,Polyester,Acrylic,None of these,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,4,The hard plastic covers of telephones are made of polymers of ,Styrene,Acrylonitrile,Ethene,None of these,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,5,Plastics are,Salts,Acids,Polymers,Solvents,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,6,For which of the following is polythene not used?,construction materials of plastics,Plastic pipes,Bread - wrappers,candles,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,7,Which of the following are synthetic fibres :,"Orlon, polypropylene and nylon","Jute, ramie and hemp","Wool, silk and cotton",All of these,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,8,A synthetic fibre obtained from renewable resources is,Nylon,Polyester,Rayon,Acrylic,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,9,The major raw materials for rayon is obtained from,Wood,Coal,Petroleum,Both coal and petroleum,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,10,Which of the following are advantages of synthetic fibres :,They are tough and durable,They are water resistant and easy to dry,They do not wrinkle,All of these,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,11,Terrywool is obtained by mixing,Polyester and Wool,Cotton and Wool,Polyester and Cotton,Cotton and Silk,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,12,Plastics,are light,can be spun into fibres to make cloth and carpets,can be coloured and moulded into any desired shape,All of these,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,13,Synthetic fibres are obtained from,Plants,Animals,Petroleum,All of these,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,14,Which of these fabrics will you prefer on a hot and humid day?,Nylon,Silk,Cotton,Wool,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,,15,Natural fibres are,Nylon and Rayon,Nylon only,Rayon silk,None of these,,d,,MCQ
