Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Force and Pressure,MCQs,,1,Which of the following is an example of a non-contact force?,Muscular force,Frictional force,Magnetic force,None of these,,,c,MCQ
1,Force and Pressure,MCQs,,2,"When a body is stationary, then",there is no force acting on it,the body is in vacuum,the force acting on it is not in contact with it,the net forces acting on it balances each other,,,d,MCQ
1,Force and Pressure,MCQs,,3,An object will continue moving uniformly when,the resultant force on it is increasing continuously,the resultant force is at right angles to its rotation,the resultant force on it is.zero,the resultant force on it begins to decrease,,,c,MCQ
1,Force and Pressure,MCQs,,4,Pressure at a point inside a liquid does not depend on,the depth of the point below the surface of the liquid,the nature of the liquid,the acceleration due to gravity at that point,the shape of the containing vessel,,,d,MCQ
1,Force and Pressure,MCQs,,5,Pressure varies with force (F) as (provided area is same),F,1/F,F^2&,1/F^2&,,,a,MCQ
1,Force and Pressure,MCQs,,6,A man is at rest in the middle of a pond of perfectly smooth ice. He can get himself to the shore by making use of Newton's,First Law,Second Law,Third Law,All the Laws,,,c,MCQ
1,Force and Pressure,MCQs,,7,A cannon after firing recoils due to,Conservation of energy,Backward thrust of gases produced,Newton's third law of motion,Newton's first law of motion,,,c,MCQ
1,Force and Pressure,MCQs,,8,When a body of density p and volume Vis floating in a liquid of density,its true weight is Vsg,loss in its weight is Vsg,its apparent weight is zero,its density  r is greater than that ofliquid s,,,c,MCQ
1,Force and Pressure,MCQs,,9,An egg when placed in ordinary water sinks but floats when placed in brine. This is because,density of brine is less than that ofordinary water,density of brine is equal to that of ordinary water,density ofbrine is greater than that of ordinary water,None of these,,,c,MCQ
1,Force and Pressure,MCQs,,10,A man is walking from east to west on a level rough surface. The frictional force on the man is directed,from the west to east,from the east to west,along the north,along the west,,,b,MCQ
