Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,The Fundamental Unit of Life,Multiple Choice Questions,,1,The energy necessary for active transport across cytoplasmic membranes is believed to come from:,ATP,diffusion,osmosis,kinetic energy,,a,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,2,Vesicles are essential for the normal functioning of the Golgi apparatus because:,they provide energy for chemical reactions.,they move proteins and lipids between different parts of the organelle,they contribute to the structural integrity of the organelle.,they produce the sugars that are added to proteins,,b,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,3,Which of the following statements about the plasma membrane is true?,It is a solid layer of protein that pr+otects the contents of the cell.,The plasma membrane of a bacterium has none of the same components as the plasma membrane of an animal cell,It is a rigid and non-moving layer of phospholipids and proteins.,It allows selected molecules to pass into and out of the cell.,,d,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,4,Mitochondria are the site of.,Kreb's cycle,Calvin cycle,anaerobic respiration,trapping of sun light,,a,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,5,"The total solute concentration in a red blood cell is about 2%. Sucrose cannot pass through the membrane, but water and urea can. Osmosis would cause such a cell to shrink the most when the cell is immersed in which of the following-",hypertonic sucrose solution,a hypotonic sucrose solution,a hypertonicurea solution,hypotonic urea solution,,a,,MCQ
1,The Fundamental Unit of Life,Assertion and Reason ,,1,"Assertion : Larger cells are less efficient.
Reason : Surface volume ratio is more in large cells.","Both A and R are true and R is correct explanation of the
Assertion",Both A and R are true but R is not the correct explanation of the Assertion,A is true but R is false,A is false but R is true,,c,,AR
1,The Fundamental Unit of Life,Assertion and Reason ,,2,"Assertion : Diffusion is a passive process of membrane transport.
Reason : Osmosis is an active process of membrane transport.","Both A and R are true and R is correct explanation of the
Assertion",Both A and R are true but R is not the correct explanation of the Assertion,A is true but R is false,A is false but R is true,,c,,AR
1,The Fundamental Unit of Life,Assertion and Reason ,,3,"Assertion : Fluid mosaic model was proposed by Singer and Nicolson.
Reason : The 'mosaic' is the intricate composite of protein and lipids of the membrane","Both A and R are true and R is correct explanation of the
Assertion",Both A and R are true but R is not the correct explanation of the Assertion,A is true but R is false,A is false but R is true,,b,,AR
1,The Fundamental Unit of Life,Assertion and Reason ,,4,"Assertion : Mitochondria and chloroplasts are semiautonomous organelles.
Reason : They are formed by division of pre-existing organelles as well as contain DNA but lack protein synthesising machinery.","Both A and R are true and R is correct explanation of the
Assertion",Both A and R are true but R is not the correct explanation of the Assertion,A is true but R is false,A is false but R is true,,c,,AR
1,The Fundamental Unit of Life,Fill in the Blanks,,1,Ribosomes are concened with the synthesis of __________,,,,,,Protein,,FIB
1,The Fundamental Unit of Life,Fill in the Blanks,,2,Movement of water across cell membrane takes place by _______,,,,,,Osmosis ,,FIB
1,The Fundamental Unit of Life,Fill in the Blanks,,3,Genes are functional segments of ________,,,,,,DNA,,FIB
1,The Fundamental Unit of Life,Fill in the Blanks,,4,Cells are enclosed by a plasma membrane composed of __________ and Proteins,,,,,,Lipids,,FIB
1,The Fundamental Unit of Life,Fill in the Blanks,,5,"The type of endocytosis known as ""cell feeding"" is called ________",,,,,,Phagocytosis,,FIB
1,The Fundamental Unit of Life,Fill in the Blanks,,6,"In plant cells, a cell wall composed mainly of _________ is located outside the cell membrane",,,,,,Cellulose,,FIB
1,The Fundamental Unit of Life,Fill in the Blanks,,7,"Active transport and facilitated transport are alike in that they require ________ proteins, but they differ in that in active transport energy is required.",,,,,,Carrier,,FIB
1,The Fundamental Unit of Life,Fill in the Blanks,,8,Cristae create a large surface area for _________ generating reactions.,,,,,,ATP,,FIB
1,The Fundamental Unit of Life,True / False,,1,Lysosomes keep the cells clean by digesting foreign materials,,,,,,1,,TF
1,The Fundamental Unit of Life,True / False,,2,"In animal cells, mitochondria is the only cell organelle outside the nucleus that contains DNA.",,,,,,0,,TF
1,The Fundamental Unit of Life,True / False,,3,Protoplasm is the part of the cell which surrounds the nucleus.,,,,,,1,,TF
1,The Fundamental Unit of Life,True / False,,4,Presence of cell wall enables bacteria to live in hypotonic medium without bursting.,,,,,,1,,TF
1,The Fundamental Unit of Life,True / False,,5,"In general, eukaryotic cells consist of a nucleus and a cytoplasmic region",,,,,,1,,TF
1,The Fundamental Unit of Life,True / False,,6,Nuclei and mitochondria are surrounded by a double membrane.,,,,,,1,,TF
1,The Fundamental Unit of Life,True / False,,7,The ER functions both as a passageway for intracellular transport and as a manufacturing surface.,,,,,,1,,TF
1,The Fundamental Unit of Life,True / False,,8,Photosynthetic prokaryotic bacteria have chlorophyll pigments in membranous vesicles.,,,,,,1,,TF
1,The Fundamental Unit of Life,True / False,,9,Lipids in a lipid bilayer rapidly exchange positions with one another in the plane of the membrane.,,,,,,1,,TF
1,The Fundamental Unit of Life,True / False,,10,"Diffusion is the movement of molecules from a place of higher concentration to a place of lower concentration in liquid, solid, or gaseous state.",,,,,,1,,TF
1,The Fundamental Unit of Life,Match the Following,,1,Match the following,"(A) -> p, (B) -> q, (C)  -> r","(A) -> r, (B) →p, (C)  -> q","(A) -> p, (B) -> r, (C)  -> q","(A) →q, (B) -> r, (C)  -> p",CH-1-1-ROW-29,c,,MCQ
1,The Fundamental Unit of Life,Match the Following,,2,Match the following,"(A) -> p, (B) -> q, (C)  -> s. (D) -> r","(A) -> r, (B) -> p, (C)  -> s. (D) -> q","(A) -> q, (B) -> s, (C)  -> p. (D) -> r","(A) -> q, (B) -> p, (C)  -> s. (D) -> r",CH-1-2-ROW-30,d,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,1,Which of these is the smallest in size?,Ribosome,Lysosome,Mitochondria,Chloroplast,,a,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,2,The scientist who saw the living cell for the first time was:,Leeuwenhoek,M.J. Schleiden,Kolliker,Palade,,a,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,3,Who proposed the cell theory ?,Schleiden and Schwann,Watson and Crick,Darwin and Wallace,Mendel and Morgan,,a,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,4,"Which of the following is found in plant cells, but not animal cells?",Cell wall,Nucleus,Endoplasmic reticulum,Mitochondria,,a,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,5,Which of the following organelles does not have membrane?,Ribosome,Nucleus,Chloroplast,Mitochondria,,a,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,6,Which of the following organelles would not be found in a plant cell?,Chloroplast,DNA,Food vacuole,Cell membrane,,c,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,7,Plastid that are white in colour (pigment free):,chloroplast,lysosome,leucoplast,chromoplast,,c,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,8,The rough endoplasmic reticulum owes its rough surface to:,mitochondria,proteins,ribosomes,DNA particles,,c,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,9,Plant cell wall is mainly composed of:,sugars,cellulose,proteins,lipids,,b,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,10,"Nucleus was discovered by,",Robert Brown,Robert Hooke,A.V. Leeuwenhoek,Schwaan,,a,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,11,"In the mitochondrion, energy is stored in the form of:",Adenosine triphosphate (ATP),Adenosine monophosphate (AMP),Citric acid,Adenosine diphosphate (ADP),,a,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,12,The site of protein synthesis in plants is:,Chloroplast,Ribosomes,Lysosome,Mitochondria,,b,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,13,Thickness of plasma membrane (unit membrane) is -,75 Å,175 Å,125 Å,150 Å,,a,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,14,The infoldings of the inner membrane of mitochondria is referred to as:,grana,stroma,oxysome,cristae,,d,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,15,The outermost boundary of an animal cell is these:,plasma membrane,nucleus,cytoplasm,cell wall,,a,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,16,The Golgi bodies are related to,respiration,excretion,secretion,circulation,,c,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,17,"Students observed the epidermal peel of a leaf under the high power of a microscope. The following are the sketches made by them.
The correct sketch is:",A,B,C,D,CH-1-17-ROW-47,b,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,18,Which animal cell structure is characterised by selective permeability?,Chromosome,Cell membrane,Cell wall,Ribosomes,,b,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,19,The most abundant compound in cytoplasm is:,fat,water,protein,carbohydrates,,b,,MCQ
1,The Fundamental Unit of Life,Multiple Choice Questions,,20,"Which organelle is made up of flat, membrane-enclosed sacs and functions as a processing center?",Chloroplast,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi body,,d,,MCQ
