Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Matter in our Surroundings,Master Boards,Multiple Choice Questions,1,Which of the following does not undergo sublimation process?,Sodium chloride,Ammonium chloride,Iodine,Naphthalene,,a,,MCQ
1,Matter in our Surroundings,Master Boards,Multiple Choice Questions,2,Which among the following can termed as fluid?,Sulphur,Carbon,Oxygen,Phosphorus,,c,,MCQ
1,Matter in our Surroundings,Master Boards,Multiple Choice Questions,3,On increasing the temperature of diffusing substance rate of diffusion :,A: Decreases,B: Increases,C: Unchanged,D: Either (a) or (b),,b,,MCQ
1,Matter in our Surroundings,Master Boards,Multiple Choice Questions,4,Solid carbon dioxide can change to gaseous carbondioxide when left open in air by,increasing pressure,decreasing pressure,decreasing temperature,none of these,,b,,MCQ
1,Matter in our Surroundings,Master Boards,Multiple Choice Questions,5,A form of matter has no fixed shape but it has a fixed volume. An example of this form of matter is :,Krypton,Kerosene,Carbondioxide,Coal,,b,,MCQ
1,Matter in our Surroundings,Master Boards,Assertion and Reason ,1,"Assertion : Tiny dust particles suspended in air shows Brownian motion.
Reason : The zig-zag movement of small particles suspended in liquid or gas is called brownian motion.",If both Assertion and Reason are correct and Reason is the' correct explanation ·of Assertion.,"If both Assertion and Reason are correct, but Reason is not the correct explanation of Assertion",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct,,b,,AR
1,Matter in our Surroundings,Master Boards,Assertion and Reason ,2,"Assertion : Gases are easily compressiable.
Reason : Intermolecular space is minimum for gases",If both Assertion and Reason are correct and Reason is the' correct explanation ·of Assertion.,"If both Assertion and Reason are correct, but Reason is not the correct explanation of Assertion",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct,,c,,AR
1,Matter in our Surroundings,Master Boards,Assertion and Reason ,3,"Assertion : Dissolved gases like carbondioxide, and oxygen are essential for the survival of aquatic plants and animals.
Reason : This is an example of diffusion of gases into liquid",If both Assertion and Reason are correct and Reason is the' correct explanation ·of Assertion.,"If both Assertion and Reason are correct, but Reason is not the correct explanation of Assertion",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct,,b,,AR
1,Matter in our Surroundings,Master Boards,Assertion and Reason ,4,"Assertion : The melting point of ice on celsius scale of temperature is 0^0&C and on kelvin scale it is -273 K.
Reason : Temp. on kelvin scale= temp on celsius scale +273",If both Assertion and Reason are correct and Reason is the' correct explanation ·of Assertion.,"If both Assertion and Reason are correct, but Reason is not the correct explanation of Assertion",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct,,d,,AR
1,Matter in our Surroundings,Master Boards,Assertion and Reason ,5,"Assertion : Freezing is reverse of melting.
Reason : The process of changing a liquid into a solid by reducing its temperature is called freezing",If both Assertion and Reason are correct and Reason is the' correct explanation ·of Assertion.,"If both Assertion and Reason are correct, but Reason is not the correct explanation of Assertion",If Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct,,a,,AR
