Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Motion,Master Boards,,1,"If distance covered by a particle is zero, what can you say about its displacement?",It may or may not be zero,It cannot be zero,It is negative,It must be zero,,d,,MCQ
1,Motion,Master Boards,,2,"If displacement of a particle is zero, distance covered by it",may be zero or may not be zero,must be zero,must not be zero,all of the above,,a,,MCQ
1,Motion,Master Boards,,3,The numerical ratio of displacement to distance is,always less than one,always equal to one,always more than one,equal to or less than one,,d,,MCQ
1,Motion,Master Boards,,4,The location of a particle has changed. What can we say about the displacement and the distance covered by the particle?,Neither can be zero,One may be zero,Both may be zero,"One is +ve, other is -ve",,a,,MCQ
1,Motion,Master Boards,,5,"Which of the following can be zero, when a particle is in motion for some time?",Distance,Displacement,Speed,None of these,,b,,MCQ
1,Motion,Master Boards,,6,Which of the following speed time graphs is not possible?,A,B,C,D,CH-1-6-ROW-7,c,,MCQ
1,Motion,Master Boards,,7,Which of the following velocity time graph is not possible?,A,B,C,D,CH-1-7-ROW-8,d,,MCQ
1,Motion,Master Boards,,8,A particle has moved from one position to another position,its distance is zero,its displacement is zero,neither distance nor displacement is zero,average velocity is zero,,c,,MCQ
1,Motion,Master Boards,,9,The displacement of a body is zero. The distance covered,is zero,is not zero,may or may not be zero,depends upon the acceleration,,c,,MCQ
1,Motion,Master Boards,,10,Which of the following changes when a particle is moving with uniform velocity?,Speed,Velocity,Acceleration,Position vector,,d,,MCQ
1,Motion,Master Boards,,11,The area of the acceleration-displacement curve of a body gives,impulse,change in momentum per unit mass,change in KE per unit mass,total change in energy,,c,,MCQ
1,Motion,Master Boards,,12,The mnnerical ratio of average velocity to average speed is,always less than one,always equal to one,always more than one,equal to or less than one,,d,,MCQ
1,Motion,Master Boards,,13,The slope of velocity-time graph for motion with uniform velocity is equal to,final velocity,initial velocity,zero,none of these,,c,,MCQ
1,Motion,Master Boards,,14,"A passenger in a moving train tosses a coin. If the coin falls behind him, the train must be moving with",an acceleration,a deceleration,a uniform speed,any of the above,,a,,MCQ
1,Motion,Master Boards,,15,"Which of the following decre,ases in motion along a straight line with constant retardation while the body is moving away from the origin?",Speed,Acceleration,Displacement,None of these,,a,,MCQ
1,Motion,Master Boards,,16,"The velocity ofa particle at an instant is 10 m/s. After 5 sec, the velocity of the particle is 20 m/s. Find the velocity at 3 seconds before from the instant when velocity of a particle is 10 m/s.",8 m/s,4 m/s,6 m/s,7 m/s,,b,,MCQ
1,Motion,Master Boards,,17,"A particle is moving in a straight line with initial velocity and uniform acceleration a. If the sum of the distance travelled in t^th& and (t + 1)th seconds is 100 cm, then its velocity after t seconds, in cm/s, is",80,50,20,30,,b,,MCQ
1,Motion,Master Boards,,18,A particle travels half the distance with a velocity of 6 ms^-1& . The remaining half distance is covered with a velocity of 4 ms^-1& for half the time and with a velocity  of 8 ms^-1& for the rest of the half time. What is the velocity of the particle averaged over the whole time of motion?,9 ms^-1&,6 ms^-1&,5.35 ms^-1&,5 ms^-1&,,b,,MCQ
1,Motion,Master Boards,,19,"A point traversed half of the distance with a velocity V~0*. The half of remaining part of the distance was covered with velocity V~1* & second half of ren:iaining part by V~2* velocity. The mean velocity of the point , averaged over the whole time of motion is",A,B,C,D,CH-1-19-ROW-20,d,,MCQ
1,Motion,Master Boards,,20,"A body dropped from a height 'h' with an initial speed zero, strikes the ground with a velocity 3 km/hour. Another body of same mass dropped from the same height 'h' with an initial speed u' = 4 km/hour. Find the
final velocity of second mass, with which it strikes the ground.",3 km/hr,4 km/hr,5 km/hr,6 km/hr,,c,,MCQ
