Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,,QuestionType
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,1,_________ man loves ________ money,The ….. The,A ….. The ,The ….. No article,No article required ….. No article required,,D,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,2,_______ student of the class ________ to finish the work by tomorrow.,All . . . . Has,Each . . . .have,Every . . . .were,Each . . . .has,,D,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,3,______ platinum is ______ any other metal.,The . . . .costlier than,No article required . . . . costlier than,The . . . .more costlier than,No article required . . . . more costlier than,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,4,The ______ of my professors inspired me to ______ hard and win the competition,Advise . . . .practise,Advice . . . .practise,Advise . . . .practice,Advice. . . . practice,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,5,"In India, ______ power to commute a death sentence is vested ______ the president.",The. . . . for,No article required . . . by,No article required . . . .on,The. . . . In,,D,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,6,______ British ruled India for four hundred years.,No article,A,An,The,,D,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,7,The teacher ordered the students not to make ______ noise.,A,An,No Article,The,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,8,Women in many Middle Eastern countries are deprived of ______ freedom even to this day.,A,An,The,No Article,,D,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,9,"Besides being a scholar, he is also ______ eminent orator.",The,No article,An,A,,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,10,______ Rome is one of the ancient cities of the world.,An,No article,A,The,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,21,"We ______ with the photograph trying to hang it, till it fell to the floor and the frame broke.",Wrested,Wrestled,Strived,Wrecked,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,22,"The young boy was lying in the middle of the road, and ______ in pain but nobody picked him up.",Shaking,Squirming,Twisting,Writhing,,D,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,23,I took some flowers and chocolates with me for I was anxious to ______ for my thoughtlessness.,Atone,Compensate,Propitiate,Redeem,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,24,The ship was scheduled to ______ a couple of days later when it hit an iceberg and sank.,Port,Dock,Wharf,Moor,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,25,He ______ on his old feet but there was nobody to extend a helping hand.,Tottered,Drooled,Doddered,Lurched,,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,26,Sixty miles ______ a very long distance to drive.,Are,Were,Is,Has been,,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,27,We hope that they ______ good health.,Kept,Are enjoying,Keep,Indulge in,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,28,The Prime Minister ______ to the US next week.,Is flown,Fly,Flied,Will fly,,D,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,29,Did you ______ him any letter last week?,Write for,Write to,Write,Wrote,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,30,"If I ______ you, I would have served them to the best of my ability.",Were,Was,Am,Will be like,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,31,"In our country, agriculture must _____ pace with industrial development",Take,Make,Loose,Keep,,D,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,32,The people of South Asia _____ behind in economic development because of tensions and conflicts.,Has been left,Had been left,Left,Will be left,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,33,The motivation to _____ comes from a burning desire to achieve a purpose,Meet,Start,Succeed,Idolize,,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,34,He does not _____ the ugly aspects of human nature from his picture of life.,Eliminate,Include,Excuse,Extricate,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,35,"After the shipwreck, they were _____ on the island for three days",Stuck,Sleeping,Marooned,Guided,,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,41,"In the face of public censure, the government was compelled to take a more ______ stand.",Staid,Acquiescent,Beneficial,Belligerent,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,42,The ultra modern building looked ______ in such a quaint old village.,Competent,Devious,Incongruous,Decorous,,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,43,He was already well _____ when we reached the party a little late.,Advanced,Sloshed,Incapacitated,Slurred,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,44,"I keep away from _____ people who always preach about morals, values and principles to everyone.",Spiritual,Sacrosanct,Sanctimonious,Devout,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,45,The preacher’s _____ remarks were well received by the audience.,Sententious,Sensuous,Sequestrable,Sheathed,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,46,They struggled ______ all through the wind and rain and finally reached their destination. ,Madly,Skillfully,Manfully,Roughly,,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,47,"After winning the match, he ______ held the trophy aloft for all to see.",Urgently,Surreptitiously,Vicariously,Victoriously,,D,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,48,"As many people repose faith in him, he is ________ a leader of the masses",Irrefutably,Arguably,Interestingly,Officially,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,49,"In spite of the big hoardings and TV commercials, there were ________ any people in the theatre for the first show of the picture.",Realistically,Hardly,Reasonably,Discreetly,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,50,He was appointed the spokesman of the party ________ to focus on the ideology of the party.,Pre-eminently,Conspicuously,Outstandingly,Uniquely,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,61,There is no tax _____ printed books.,On,In,With,Towards,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,62,"India is a noble, affluent land, teeming _____ natural wealth.",At,About,For,With,,D,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,63,"After a very long and tiring walk, we rested ______ a tree.",Below,Under,Down,Behind,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,64,He died _____ cancer at a very young age.,Of,With,By,Off,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,65,"_______ all your shortcomings, I still love you.",With,Through,For,Besides,,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,66,"Her son hasn’t come back from abroad, he hasn’t written
to her ______.",Neither,Either,Even,Though,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,67,He ______ plays some games in the evenings.,Hardly,Regularly,Immediately,Cautiously,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,68,You will be allowed to enter by the gate ______ you bribe the gateman.,Provided,Nevertheless,While,Whereas,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,69,I started early ______ I might reach in time.,So that,Lest,For,Since,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,70,He went to bed early ______ to wake up early in the morning,Such that,As though,Such as,So as,,D,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,81,"Whenever you call him, he says, ‘Indeed, I am thinking of calling you shortly’.","Whenever you call him, he says that he was thinking of calling you just then.","Whenever you call him, he said that he was thinking of calling you","Whenever you call him, he says that he is thinking of calling you just then","Whenever you call him, he says that he had been thinking of calling him just then",,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,82,"Great people never say, ‘We are busy and we don’t have time’.",Great people never said that they are busy and they don’t have time,Great people never say that they are busy and they don’t have time,Great people will never say that they are being busy and they don’t have time,Great people would never say that they are busy and they don’t have any time,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,83,My friend asked me affectionately what he could do for me when I was in trouble.,"When I was in troubles, my friend asked me, ‘What could I do for you dear?’","When I was in troubles, my friend had affectionately asked me, ‘What I can do for you?’","When I was in trouble, my friend asked me, ‘What can I do for you dear?’","My friend has asked me when I was in troubles, ‘What can I do for you?’",,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,84,The employee asked the employer whether there was possibility of a good hike in the salary.,"The employee asked the employer, ‘Is there any possibility of a good hike in my salary?’","The employee told the employer, ‘Whether there is any possibility of a good hike in my salary?’","The employee said to the employer, ‘If there is any possibility of a good hike in my salary?’","The employee said to the employer, ‘Was there any possibility of a good hike in my salary?’",,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,85,The doctor advised the patient to give up drinking.,"The doctor said to the patient, ‘You should give up drinking’.","The doctor warned the patient, ‘Give up drinking’.","The doctor requested the patient, ‘Please give up drinking’.","The doctor advised the patient, ‘Give up drinking",,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,86,Buy this book.,This book should be bought,This book shall be bought,This book is bought.,Let this book be bought,,D,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,87,Bring fruits immediately.,Fruits may be brought immediately,Let fruits be brought immediately,Fruits might be bought immediately,All the above are correct,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,88,This law must be objected to by everyone.,Everyone must object this law.,Everyone had to object to this law.,Everyone must object that law.,Everyone must object to this law.,,D,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,89,When is her household work done by her?,When does she do her household work?,When she does her household work?,When has she done her household work?,When she had done her household work?,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,90,Jawaharlal Nehru was said to have lived in great luxury in his childhood.,People say that Jawaharlal Nehru had lived in great luxury in his childhood,People say that Jawaharlal Nehru lived in great luxury in his childhood.,People say that Jawaharlal Nehru was lived in great luxury in his childhood,People had said that Jawaharlal Nehru lived in great luxury in his childhood.,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,91,We use this room only on special occasions.,"Only on special occasions, we use this room.",This room will be used only on special occasions.,This room is used by us only on special occasions.,Only this room is used on special occasions by us.,,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,92,Salesmen from all regions attended the meeting.,The meeting has been attended by salesmen from all regions.,The meeting has been attended by salesmen from all regions.,The meeting has been attended by salesmen from all regions.,The meeting by salesmen was attended from all regions,,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,93,This polish can be applied to any surface.,You can apply this polish to any surface.,Any surface can be applied by this polish,This polish can apply to any surface.,You have applied this polish to any surface.,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,94,Was the window pane broken by you?,Do you break the window pane?,Did you break the window pane?,"You broke the window pane, did you?",The window pane was broken by you.,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,94,The electric wires have been cut.,They cut the electric wires.,Someone had cut the electric wires,Someone has cut the electric wires.,They have been cutting the electric wires.,,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,96,"The hotel manager asked the stranger, ‘Where do you come from?’",The hotel manager asked the stranger whether he knew where he came from,The hotel manager asked the stranger where he came from.,The hotel manager enquired where did the stranger come from.,The hotel manager asked the stranger where he had came.,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,97,"She said, ‘Sorry, I won’t do this again’.",She appologized and said that she wouldn’t do that again.,She said sorry and that she won’t do it again.,She said that she was sorry and that she would not do this again,She apologized and said that she shall not do it again.,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,98,The teacher asked them if they were making good progress.,The teacher asked them ‘Were they making good progress?’,"The teacher told them, ‘Were you making good progress?’","The teacher asked them, ‘Are you making good progress?’","The teacher asked them, ‘If you are making good progress?’",,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,99,He suggested that they should come early the next day and complete the work.,"He said, ‘They should come early tomorrow and complete the work’.","He said, ‘Let us come early tomorrow and complete the work’.",He said ‘We may come early tomorrow to complete the work’.,"He said, ‘Come early tomorrow and complete the work’.",,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,100,"The teacher asked the new boy what his name was, where he came from, and which school he had attended last.","The teacher asked the new boy, ‘What is your name? Where do you come from? Which school did you attend last?","The teacher told the new boy, ‘What is your name? Where are you coming from? Which school do you attend last?’","The teacher said to the new boy, ‘What is his name? Where does he come from? Which school he attended last?’","The teacher asked the new boy, ‘What your name is? Where you come from? Which school you attended
last?’",,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,101,Unscrupulous builders may soon find it impossible to hide _____ terms that conceal the real floor area of the apartments they are selling.,Away,Behind,In,Out,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,102,The worker is patting _____ the bumps on the floor so that he can lay the marble properly,Up,On,Down,Off,,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,103,No sooner had the government come to know about the farmer’s agitation than it sent the paramilitary forces to snuff it_____.,Down,Out,Off,About,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,104,The army of Yangon moved along the border to eliminate terrorist training camps and flush the cadres _____.,In,Into,Out of,Out,,D,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,105,"Given his special role in hounding _____ Saddam Hussein, it is Mr. Blair’s coy reaction that is most interesting.",To,At,On,Out,,D,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,106,"According to Daniel Archibugi, it is impossible to deal _____ a democratic fashion with undemocratic governments",In,With,Into,Out,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,107,South Korea is unable to shrug ____ its US oriented historical baggage of the 1950s.,Away,Off,Up,From,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,108,"In Nafis’ plays, we watch women writhing ____ pain in the patriarchal stranglehold.",With,From,In,Away,,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,109,The media reported about victims of road accidents lying on the road and everyone hurrying by paying no attention to lives ebbing_____.,Out,Away,Off,In,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,110,The onus is clearly on the leadership of both the political parties to build on the spirit rather than to fritter it _____.,On,Up,Down,Away,,D,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,111,She is a very friendly girl who can _____ with everyone.,Get along,Get off,Get ahead,Get away,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,112,"Though I knew she was unscrupulous, I was completely _____ by her charming face and started believing her words",Taken in,Taken aback,Taken over,Taken off,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,113,She is a woman of many talents and I have _____ her.,Taken on,Taken after,Taken to,Taken up with,,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,114,The prisoner _____ of the prison but was soon recaptured.,Broke out,Broke through,Ran out,Rushed out,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,115,They had to _____ the party because of heavy rain.,Call back,Cancel out,Call off,Wipe out,,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,116,These machines are programmed to _____ automatically in case of an emergency.,Shut away,Tune out,Shut down,Turn down,,C,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,117,Most of the water bodies in this area have _____ which has lead to serve food and water shortage.,Dried out,Dried up,Dried off,Dried away,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,118,Our manager gave us the general plan and we _____ the minor details,Worked on,Worked to,Worked over,Worked in,,A,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,119,She _____ in any crowd because she is very beautiful and attractive,Stands aside,Stands out,Stamps on,Stamps out,,B,,MCQ
Part-I-Chapter-1,Part-I - General Aptitude,Grammar,Exercises,120,"My friend, who considers himself an excellent driver, was put off when he saw so many cars easily _____ us.",Catching up with,Catching at,Taking over,Taking on,,A,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,1,"As they approaching the house, the colonel’s wife calls him for tea.",As they approaching the house,As they will be approaching the house,As they approach the house,As they approach to the house,,C,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,2,A writer always is having his own vision of life.,Always is having,Every time is having,Always has,Every time will have,,C,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,3,"With only two weeks before the party, the last place I would wanted to be was in the hospital recovering from surgery",Would wanted to be,Wanted to be,Would want myself to be,Wanted me to be,,C,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,4,We had been almost halfway there when the left rear tyre blew out,Had been almost,Were almost,Were going to be almost,Were reaching,,B,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,5,"After I grew up and went into business, I always have had a soft spot for kids without bikes.",Always have had,Always had had,Always had,Have always had,,C,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,6,Gayatri informed one of the directors that she has sent the material for printing.,Shall be sending,Sends,Had sent,Had been sending,,C,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,7,"Sosin suggested that not to talk about her selection in IAS, till she received the orders.",Not to be talking,That we should not talk,That we would not talk,That she will not talk,,B,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,8,I would rather work twelve hours a day in the office than sitting and watching the idiot box at home,Than to sit and watch,Instead of sitting and watching,Than to sitting and watching,Than sit and watch,,D,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,9,He informed me that he will visit my house in a day or two.,He would visit my house in a day or two.,He visits my house in a day or two.,He could visit my house in the coming two days.,He couldn’t visit my house in a day or two.,,A,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,10,I shall wait here until the bus has arrived.,Until the bus may arrive.,Until the bus arrives,Until the bus will arrive,Until the bus has arrived,,B,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,11,"Identify the incorrect sentence or sentences:
a. Civilization is not inherited.
b. It had to be learned and earned by each generation anew.
c. If the transmission is interrupted for one century, civilization will die.
d. And we will be savages again.",a and b,b and d,c and d,b and c,,D,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,12,"Identify the incorrect sentence or sentences:
a. Orchids can be found all over India.
b. Arunachal Pradesh, Sikkim, and Meghalaya are especially blessed by these blooms
c. More than 800 of India’s 1200 species flourish in the North eastern states.
d. Infact, the state flowers of both Arunachal Pradesh and Assam is the foxtail orchid.",a and c,b and d,Only b,Only c,,B,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,13,"Identify the incorrect sentence or sentences:
a. Water blessed our nation this year and also cursed it.
b. Downpours ended California’s drought, and a dry summer seared South Carolina.
c. The Midwest still reels from flood.
d. Water is on everyones mind.",Only b,b and d,"a, b and c","b, c and d",,B,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,14,"Identify the incorrect sentence or sentences:
a. Flowers have always played a significant part in religious ceremony.
b. Their perfumes have a distinct affect on the mind and its moods.
c. The Arabians imported their perfumes from India, as they still do.
d. Kannauj, in Uttar Pradesh, is the heart of the perfume industry",Only a,a and b,Only c,c and d,,B,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,15,"Identify the incorrect sentence or sentences: 
a. The country boasts about more than 400 airports.
b. But just 62 of them are in active use.
c. Mumbai and Delhi airports alone account over 40% of the passenger traffic.
d. The facilities at the airports are woefully short.",Only a,a and c,a and b,"a, c, and d",,B,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,16,"Identify the incorrect sentence or sentences:
a. The news about coffee is surprisingly good.
b. Moderate intake of coffee does not pose a healthy threat.
c. The only serious charge against caffeine is that it may addict.
d. Its absence can result in headaches, fatigue etc.",Only a,Only c,b and c,a and d,,C,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,17,"Identify the incorrect sentence or sentences:
a. The plane banked over the Amazonian rainforest.
b. Prance gazed down the dark green canopy below.
c. It was an expanse of trees, almost unbroken.
d. It had more variety of plants and animal life than any other place on earth.",b and d,a and c,"a, b and c","b, c and d",,A,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,18,"Identify the incorrect sentence or sentences:
a. I watched the match on TV with my son.
b. It was about so exciting as watching a moth sleep.
c. I considered myself lucky if he grunted a monosyllable response.
d. Even eye contact was off question.",a and b,"a, b and c","b, c and d",b and d,,C,,MCQ
Part-I-Chapter-2,Part-I - General Aptitude,Vocabulary,Exercises,19,"Identify the incorrect sentence or sentences:
a. They had to do what no drug enforcement agents had ever done.
b. They had to infiltrate the shadowy world of the Chinese drug cartel.
c. They had to lure Johnny Kon, its crafty leader, in the open.
d. The shrewd Kon was more a match for these inexperienced investigators.",a and b,c and d,"a, c and d","b, c and d",,C,,MCQ
