Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Crop Production and Management,Multiple Choice questions,Level - 1,1,Harrow is an implement used to remove,Weeds ,Crops plants,Stones,Rocks,,a,,MCQ
1,Crop Production and Management,Multiple Choice questions,Level - 1,2,Levelling is done to,Prevent soil erosion,ensure uniform irrigation,ensure uniform mixing of manure and fertilisers,All of these,,d,,MCQ
1,Crop Production and Management,Multiple Choice questions,Level - 1,3,Intercropping is,growing of one crop in a field,growing of two or more crops together in a field in definite pattern,growing two crops in alternate seasons,None of these,,b,,MCQ
1,Crop Production and Management,Multiple Choice questions,Level - 1,4,Keeping land uncultivated for some time so as to replenish the lost nutrients is called,Crop rotation,Multiple cropping,Field fallow,Intercropping,,c,,MCQ
1,Crop Production and Management,Multiple Choice questions,Level - 1,5,Which of the given statements is not correct?,"Crop rotation increases nutrients content
of the soil.","Crop rotation helps in controlling pests and
weeds.",Crop rotation helps to reduce soil pollution,"Crop rotation helps mixing of fertilisers
uniformly.",,d,,MCQ
1,Crop Production and Management,Multiple Choice questions,Level - 1,6,Scattering of seeds in field by hands is known as,Spacing,Boradcasting,Sowing,All of these,,b,,MCQ
1,Crop Production and Management,Multiple Choice questions,Level - 1,7,Which of the given practices damages the soil fertility,Intercropping,Crop rotation,Field fallow,Monocropping,,d,,MCQ
1,Crop Production and Management,Multiple Choice questions,Level - 1,8,Cutting of mature crops with sickle is called,Threshing,Harvesting,Winnowing,None of these,,b,,MCQ
1,Crop Production and Management,Multiple Choice questions,Level - 1,9,Falling of mature crops due to excessive irrigation is known as,Water logging,Water lodging,Tranplanation,None of these,,a,,MCQ
1,Crop Production and Management,Multiple Choice questions,Level - 1,10,Combine is an implement used for,Threshing,Harvesting,Winnowing,Both (a) and (b),,d,,MCQ
1,Crop Production and Management,Multiple Choice questions,Level - 1,11,Which of the following is used as a weedicide?,Malathion,Disyston,Dalapon,Gammaxane,,c,,MCQ
1,Crop Production and Management,Multiple Choice questions,Level - 1,12,"Which of the following should come in the box 'X' in the given sequence?
Ploughing -> Levelling -> Sowing seeds -> [X] - > Irrigation",Boradcasting,Transplanting,Manuring,Drilling,,c,,MCQ
1,Crop Production and Management,Multiple Choice questions,Level - 1,13,What will improve the quantity of food production?,Pesticides,Synthetic hormones,Education and guidance for consumers,Optimum use of land for agriculture,,d,,MCQ
1,Crop Production and Management,Multiple Choice questions,Level - 1,14,"Food production can be increased to meet the demand of an increasing population by
i)   practising efficient land management and development
ii)  continuous research to ensure sustainable development
iii) using more pesticides to control pests.",(i) and (ii),(i) and (iii),(ii) and (iii),"(i), (ii) and (iii)",,a,,MCQ
