Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,1,Why is polyester not suitable for summer wears?,Polyester crumples easily,Polyester does not absorb sweat,It is very soft and thin,It does not dry easily,,b,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,2,Which of the following is correct about blended fabrics?,They are less expensive,They have combined properties of each fibre,They are made by blending synthetic fibres with natural fibres.,All of the above,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,3,"Polyester and wool fibres when mixed, make",Polycot,Terrywool,Cots wool,Polyester,,b,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,4,The first man-made fully synthetic fibre is,Nylon,Polyester,Rayon,Cotton,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,5,The material used in making parachutes and ropes for rock climbing is,Jute,Nylon,Coir,Rayon,,b,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,6,The polymer used in making non-stick cookwares is,Rayon,Nylon,Teflon,Polymers,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,7,Styrofoam cup is used to serve hot tea or coffee because,it is a good conductor of heat,it is a poor conductor of heat,it is very flexible in nature,it is easy to clean,,b,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,8,Toothpaste tubes are made of plastic because,it can hold more amount of toothpaste,it can be coloured in different colours,It is flexible and light,It is biodegradable.,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,9,Which of the following substances can be used to make the insulation of wires?,Plastic,Rubber,Wood,Glass,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,10,Which of the following is a natural polymer?,Cellulose,Teflon,Nylon,Terylene,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,11,The ability of a material to bend without breaking and to return to its original shape is,Flexibility,Hardness,Tensile strength,Conductivity,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,12,The strength of a material to withstand a weight without breaking is,Tensile strength,Flexibility,Hardness,Metallic strength,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,13,Mark the correct statement,Metals do not conduct electricity,Bakelite is good conductor of heat,A flexible object will never change its shape,Strength of an object refers to its ability to support a load without breaking,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,14,Which of the following is a linear polymer?,Nylon,Bakelite,Melamme,Synthetic rubber,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,15,Thermoplastics are,linear polymers,polymers that soften or melt on heating,molten polymers can be moulded in any shape,All of the above,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,16,Thermosetting polymers are,cross linked polymers,such that they do not melt on heating,such that during heating it hardens irreversibly,All of the above,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,17,A polymer which is commonly used as a packaging material is,Polythene,Bakelite,PVC,Polypropylene,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,18,PVC is used for making rain coats and seat covers because,it can be rolled into thin sheets like polythene,it can be coated on a cloth base and is tougher than polythene,it has low melting point and is unreactive,it has high melting point and is very reactive,,b,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,19,Which of the following is true?,Cellulose is made up of glucose units,Weaving and knitting are two processes to obtain plastics,Plastics get corroded easily,Plastics are not polymers,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,20,The plastic which can not be recycled is,Jute,Elastomer,Petrochemicals,Bakelite,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,21,The plastics which do not remould again on heating are called,thermosetting plastics,thermoplastics,polyester plastics,polymer plastics,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,22,What are the physical properties associated with plastic materials?,"Poor conductors of heat, easily moulded and strong","Do not corrode, low density and shiny","Brittle, flexible and elastic","Strong, transparent, high melting point",,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,23,Cotton on burning gives the smell of burning paper because,cotton is obtained from plants,paper is also obtained from plants,both cotton and paper are obtained from plants,paper is obtained from cotton plant only,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,24,When we burn wool why do we get the smell of burning of hair?,Wool is obtained from nylon,Wool is obtained from cotton plants,Wool is obtained from jute plants,Wool is obtained from hair of sheep,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,25,"Four 'R's in 4R principle are reduce, reuse and",recycle and recover,recycle and retain,regain and retain,reform and regain,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,26,A non-corrosive material is one which,does not react with water and air but reacts with chemicals,does not react with common chemicals but reacts with water,is of plant or animal origin,"does not react with water, air and common chemicals",,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,27,What are the qualities of synthetic fibres which make them more popular than natural fibres?,They are cheaper than natural fibres,They are more durable than natural fibres,Both (a) and (b),None of these,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,28,Which is a biodegradable substance?,Cotton cloth,Thermosetting plastic,Thermoplastic,PVC pipes,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,29,Non-stick teflon coated cookwares are generally recommended to heart patients because,non-stick cookwares do not absorb water,non-stick cookwares do not absorb oil,non-stick cookwares cook faster,non-stick cookwares are biodegradable,,b,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 1,30,"To which of the following, 4R principle applies most?",Synthetic fibres,Natural fibres,Plastics,Wool,,c,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 2,31,Which is the strongest fibre amongst the followings?,Rayon,Nylon,Acrylic,Cotton,,b,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 2,32,"Which one of the following properties would you consider when choosing a material for food containers?
i) Able to resist high temperature
ii) A good insulator of heat
iii) Non-corrosive
iv) Can be made into various shapes",(i) and (iv) only,(ii) and (iii) only,"(i), (ii) and (iv) only","(i), (ii), (iii) and (iv)",,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 2,33,Which is an example of thermosettingpolymer,Polythene,PVC,Neoprene,Bakelite,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 2,34,"To make PVC, a flexible plastic, the additive used is called",Filler,Stabilizer,Antioxidant,Plasticizer,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 2,35,Among the following the weakest interparticle forces of attraction are present in,thermosetting polymers,thermoplastic polymers,Fibres,Elastomers,,d,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 2,36,Which of the following polymers is chemically least reactive and thermally most stable?,PVC,Teflon,Polythene,Nylon,,b,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 2,37,"Which of the following properties of nylon make it most suitable for making toothbrush bristles?
i) It absorbs little water
ii) It is strong when wet
iii) It is not acted upon by bacteria and fungus
iv) It is clear, transparent and heavy","(i), (ii), (iii)",(i) and (ii),(i) and (iii),(i) and (iv),,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 2,38,"We come to the conclusion that plastics are bad conductors of heat and electricity from the following
i) Refrigerators and freezers have a plastic core.
ii) Electrical wires have a plastic covering.
iii) Cooking pans have plastic handles.
iv) We use plastics to prepare parachutes",(i) and (ii),"(i), (ii), and (iii)",(i) and (ii),"(i), (ii) and (iv)",,b,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 2,39,"Bed sheets, curtains, tents, parachutes, etc. are made from",Natural and synthetic fibres,Plastic and polythene,PVC and wool,Nylon and bakelite,,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 2,40,"Tina sets up apparatus for an experiment as shown in Mass before Mass after the figure. She performed the same experiment by
changing threads (p, q and r). She found that weight required to break the thread is in the order x >y> z, where x = weight required to break p, y = weight required to break q, z = weight required to break r. p.q and r can be",,,,,CH-1-40-ROW-41,a,,MCQ
1,Synthetic Fibres and Plastics,Multiple Choice Questions,Level - 2,41,Which of the following polymers contains fluorine?,Neoprene ,PVC,Teflon,Polyester,,c,,MCQ
