Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Cell-The Fundamental Unit of Life,,Level - 1,1,"Normally, in the process of osmosis, the net flow of water molecules in or out of the cell depends upon differences in the",concentration of water molecules inside and outside the cell,concentration of enzymes on either side of the cell membrane,rate of molecular motion on either side of the cell membrane,rate of movement of insoluble molecules inside the cell.,,a,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,2,The rough ER is so named because it has an abundance of,mitochondria,lysosomes,Golgi bodies,ribosomes.,,d,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,3,The bacterial cell wall is composed of,phospholipid,cellulose,chitin,peptidoglycan.,,d,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,4,Most cell membranes are composed principally of,DNA and ATP,protein and lipids,chitin and starch,nucleotides and amino acids.,,b,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,5,Root hair absorb water from soil through,osmosis,exocytosis,diffusion,endocytosis.,,a,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,6,Cell wall is present in,plant cell,prokaryotic cell,algal cell,all of these,,d,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,7,Mitochondria were first seen by,Benda,Kolliker,Schwann,R.G. Harrison,,b,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,8,The cell wall of most fungi is made of,lignin,suberin,chitin,pectin.,,c,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,9,Aerobic respiration is performed by,ribosomes,mitochondria,lysosomes,chloroplasts,,b,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,10,Which of the following organelles in the cell is referred to as the suicidal bags or disposal units?,Lysosomes,Nucleus,Chloroplast,None of these,,a,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,11,Which of the following is useful for the synthesis of proteins and enzymes?,Smooth endoplasmic reticulum,Golgi complex,Rough endoplasmic reticulum,Mitochondria,,c,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,12,"Besides nucleus, DNA is also present in",ribosomes,mitochondria,lysosomes,Golgi complex,,b,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,13,If the ribosomes of a cell are destroyed then,respiration will not take place,fats will not be stored,carbon assimilation will not occur,proteins will not be formed.,,d,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,14,The inner membrane of mitochondria is folded because it,has no space inside,helps in transportation of materials,increases the surface area,stores more food,,c,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,15,The solution in which a cell when placed will gain water by osmosis is termed as,isotonic solution,hypertonic solution,hypotonic solution,both (a) and (b),,c,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,16,The animal cell which does not possess nucleus is,egg of hen,white blood cell,red blood cell,nerve cell.,,c,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,17,The plant cells do not burst when kept in hypotonic solution due to presence of,cell wall,vacuoles,plastids,both (a) and (b),,a,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,18,The longest cell in the human body is,nerve cell,muscle cell,liver cell,kidney cell,,a,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,19,Human cheek cells are commonly stained with,methylene blue,safranin,acetocarmine,eosine.,,a,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,20,Double membrane is absent in,mitochondrion,chloroplast,nucleus,lysosome.,,d,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,21,We generally mount the material on the slide,in the centre,on left corner of slide,on right corner of slide,both (b) and (c) ,,a,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,22,Which among the following is an acellular organism?,Trypanosoma,Chlamydomonas,Virus,Amoeba,,c,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,23,Well defined nucleus is absent in,Paramecium,Pseudomonas,Algae,Fungi,,b,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,24,Cell theory was proposed by,Robert Hooke,Beadle and Tatum,Schleiden and Schwann,Hargovind Khorana,,c,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,25,"Which of the following are functions of ribosome?
(i) It helps in manufacture of protein molecules.
(ii) It helps in manufacture of enzymes.
(ii) It helps in manufacture of lipids.
(iv) It helps in manufacture of starch molecules.",(i) and (ii),(ii) and (ii),(ii) and (iv),(i) and (iv),,a,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,26,Select the false statement,Golgi apparatus is involved in the formation of lysosomes.,"Nucleus, mitochondria and plastid have DNA; hence they are able to make their
own structural proteins. ",Mitochondria is said to be the power house of cell as ATP is generated in them.,Cytoplasm is also called protoplasm.,,d,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,27,Which cell organelle plays a crucial role in detoxifying many toxins and drugs in a cell?,Golgi apparatus,Lysosomes,Smooth endoplasmic reticulum,Vacuoles,,c,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,28,The undefined nuclear region of prokaryotes is also known as,nucleus,nucleolus,nucleic acid,nucleoid.,,d,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,29,The cell organelle involved in forming complex sugars from simple sugars are,endoplasmic reticulum,ribosomes,plastids,Golgi apparatus,,d,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 1,30,Kitchen of the cell is,mitochondria,endoplasmic reticulum,chloroplast,Golgi apparatus,,c,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 2,31,"Organelle X bears ribosomes on its outer surface. Organelle X and organelle Y together give rise to organelle Z which is often referred
to as 'suicide bag' of cells. ldentify organelles X, Y and Z and select the incorrect option regarding them.",Organelle X takes part in formation of proteins.,Organelle Z is bound by single membrane.,Organelle Y is the main site of cellular respiration,Organelle Z is involved in autophagy,,c,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 2,32,"Within chloroplasts, light is captured by",thylakoids within grana,stroma or matrix,grana within thylakoids,none of these,,a,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 2,33,Ribosomes are found,only in the nucleus,in the cytoplasm,only in eukaryotic cells,both (b) and (c).,,b,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 2,34,"The part of the cell responsible for maintaining cell shape, internal organisation and cell movement is the",vesicle,nucleus,vacuole,cytoskeleton.,,d,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 2,35,A mature plant cell has,protoplasm and vacuole but no cell wall,vacuole and cell wall but no protoplasm,cell wall and protoplasm but no vacuole,"protoplasm, cell wall and vacuole",,d,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 2,36,"Due to some mutation, sperms of animal X lack an organelle that also plays an important role in digesting limiting membrane of egg to
facilitate entry of sperm. This organelle is filled with hydrolytic enzymes.
Identify this organelle and select the correct option regarding it.",Tadpoles lacking this organelle in their cells do not transform into adult frogs.,During starvation this organelle brings about autophagy to provide the necessary energy,This organelle possesses photosynthetic pigments on its membrane.,Both (a) and (b).,,d,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 2,37,Find out the incorrect statement.,"Osmosis is a slow process, occurs down the concentration gradient and does not expend energy.",Electron microscope uses electromagnets instead of glass lenses and beam of electrons instead of light.,A semipermeable membrane does not allow both solvent and solute molecules to pass through it.,Active transport of materials is rapid and usually occurs against the concentration gradient involving carrier proteins and energy in the form of ATP.,,c,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 2,38,Which of the following cell organelles liberate heat for the maintenance of constant body temperature in birds and mammals?,Lysosomes,Ribosomes,Endoplasmic reticulum,Mitochondria,,d,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 2,39,A plant cell differs from an animal cell in the absence of,endoplasmic reticulum,mitochondria,ribosomes,centrioles.,,d,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 2,40,Find out the false statement,"Nucleus, plastids and mitochondria contain DNA and hence are able to make their own  structral proteins",Mitochondria are said to be the 'power house' of the cell,Lysosomes are chlorophyll containing bags surrounded by a single unit membrane.,Ribosomes are also called Palade particles and are the 'protein factories' of the cell.,,c,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 2,41,Find out the correct statement.,Enzymes packed in lysosomes are made through RER (rough endoplasmic reticulum).,Rough endoplasmic reticulum and smooth endoplasmic reticulum produce lipid and protein respectively.,Endoplasmic reticulum is related with the destruction of plasma membrane.,Nucleoid is present inside the nucleoplasm of eukaryotic nucleus.,,a,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 2,42,"Refer to the given Venn diagram.
Select the correct option regarding organelle X and Y.",Organelle X could be the largest organelle which is absent in mature mammalian RBCs.,Organelle X has inner membrane infolded into finger like processes called cristae which bear oxysomes,"Organelle Y is a semi-autonomous organelle, often referred to as kitchen of cells.",All of these,CH-1-42-ROW-43,d,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 2,43,Which of the following is the function of vacuole?,Osmoregulation,Provide turgidity,Storage of cell by products,All of these,,d,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 2,44,Animal cells do not show plasmolysis because,they do not exhibit osmosis,they do not possess cell wall,they are living cells,they have intercellular spaces.,,b,,MCQ
1,Cell-The Fundamental Unit of Life,,Level - 2,45,Select the incorrect statement regarding phagocytosis.,Vesicles formed in phagocytosis are 1 to 2 mm or more wide.,It is a nutritive and defensive process,It is the intake of extracellular particles,None of these,,d,,MCQ
