Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Matter in our Surroundings ,,level-1,1,Addition of impurities to water,decreases the freezing point of water,increases the boiling point of water,does not affect the freezing or boiling point of water,both (a) and (b).,,d,,MCQ
1,Matter in our Surroundings ,,level-1,2,"Which of these choices is defined as ""Standard Pressure""?",14.7 psi,1 atm,760 torr,All of these,,d,,MCQ
1,Matter in our Surroundings ,,level-1,3,Which of the following indicates the relative randomness of particles in the three states of matter?,Solid > liquid > gas,Liquid < solid < gas,Liquid> gas> solid,Gas> liquid > solid,,d,,MCQ
1,Matter in our Surroundings ,,level-1,4,The process of evaporation causes,heating,cooling,increase in temperature,none of these,,b,,MCQ
1,Matter in our Surroundings ,,level-1,5,lce floats on the surface of water because,it is heavier than water,the density of both water and ice is the same,ice is lighter than water,none of these,,c,,MCQ
1,Matter in our Surroundings ,,level-1,6,Which of the following statements is not correct?,Matter is continuous in nature,Interparticle spaces are maximum in the gaseous state of a substance,Particles which constitute the matter follow a zig-zag path,Solid state is the most compact state of a substance,,c,,MCQ
1,Matter in our Surroundings ,,level-1,7,Evaporation of a liquid can take place,at its boiling point,below its boiling point,above its boiling point,at a fixed temperature,,b,,MCQ
1,Matter in our Surroundings ,,level-1,8,A liquid is kept in a China dish. The evaporation of the liquid can be accelerated by,keeping the dish in the open,blowing air into the liquid,keeping the dish under a running fan,all of these,,d,,MCQ
1,Matter in our Surroundings ,,level-1,9,Which one of the following statements is wrong for gases?,Gases do not have a definite shape and volume,Volume of the gas is equal to the volume of the container confining the gas,Confined gas exerts uniform pressure on the walls of container in all directions,Mass of the gas cannot be determined by weighing a container in which it is enclosed,,d,,MCQ
1,Matter in our Surroundings ,,level-1,10,The quantity of matter present in an object is called its,weight,gramn,mass,density,,c,,MCQ
1,Matter in our Surroundings ,,level-1,11,Which of the following describes the liquid phase?,Ithas a definite shape and a definite volume,It has a definite shape but not definite volume,It has a definite volume but not a definite shape.,It has neither a definite shape nor a definite volume,,c,,MCQ
1,Matter in our Surroundings ,,level-1,12,Which of the following states has the least energetic molecules?,Solid,Liquid,Gas,Plasma,,a,,MCQ
1,Matter in our Surroundings ,,level-1,13,Which of the following represent ne densest state of matter?,Solids,Liquids,Gases,Vapours,,a,,MCQ
1,Matter in our Surroundings ,,level-1,14,"When ice melts to water, then heat is",absorbed,evolved,no change,depends on conditions,,a,,MCQ
1,Matter in our Surroundings ,,level-1,15,A gas can be best liquefied,by increasing the temperature,by lowering the pressure,by increasing the pressure and reducing the temperature,none of these,,c,,MCQ
1,Matter in our Surroundings ,,level-1,16,Which of the following statements does not go with the liquid state?,Particles are loosely packed in the liquid state.,Fluidity is maximum in the liquid state,Liquids cannot be compressed much,Liquids take up the shape of any container in which they are placed,,b,,MCQ
1,Matter in our Surroundings ,,level-1,17,The state of matter which consists of super energetic particles in the form of ionized gases is called,gaseous state,liquid state,Bose-Einstein condensate,plasma state,,d,,MCQ
1,Matter in our Surroundings ,,level-1,18,The value of latent heat of vaporisation of water in kcal/kg is,80,540,334,225,,b,,MCQ
1,Matter in our Surroundings ,,level-1,19,"When liquid starts boiling, further heat energy which is supplied",is lost to the surroundings as such,increases the temperature of the liquid,increases the kinetic energy of the particles in the liquid,is absorbed as latent heat of vaporisation by the liquid,,d,,MCQ
1,Matter in our Surroundings ,,level-1,20,The forces of attraction between the particles of matter are maximum in,iron rod,kerosene oil,glycerine,dry air,,a,,MCQ
