Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Motion,,level-1,1,The displacement-time graph for two particles A and B are straight lines inclined at angles of 30^0& and 60^0& with the time axis. The ratio of velocities V~A* : V~B* is,1 : 2 ,1 : Ö3, Ö3 : 1,1 : 3,,d,,MCQ
1,Motion,,level-1,2,  A 150 m long train is moving with a uniform velocity of 45 km/h. The time taken by the train 8. to cross a bridge of length 850 metres is,56 sec,68 sec,80 sec,92 sec,,c,,MCQ
1,Motion,,level-1,3,"A man walks on a straight road from his home to market 2.5 km away with a speed of 5 km/h. Finding the market closed, he instantly turns
and walks back home with a speed of 7.5 km/h. The average speed of the man over the interval of time 0 to 40 min is equal to",5 km/h,25/4 km/h,30/4 km/h,45/8 km/h,,d,,MCQ
1,Motion,,level-1,4,A body starts from rest and moves with some acceleration. What is the ratio of the distance (d) 40 m/s travelled by the body during the 4th and 3rd second,7/5,5/7,7/3,3/7,,a,,MCQ
1,Motion,,level-1,5,"The position of a particle moving along the x-axis at certain duration of time is given below :
Which of the following describes the motion correctly?","Uniform, accelerated","Uniform, decelerated","Non-uniform, accelerated",There is not enough data for generalization,CH-1-5-ROW-6,c,,MCQ
1,Motion,,level-1,6,"A body A starts from rest with an acceleration a. After 2 seconds, another body B starts from rest with an acceleration a~2*. It they travel equal distances in the 5th second, then the ratio a~1* : a~2* is equal to",5 : 9,5 : 7,9 : 5,9 : 7,,a,,MCQ
1,Motion,,level-1,7,An object is projected upwards with a velocity of 100 m/s. It will strike the ground after (approximately),10 s,20 s,15 s,5 s,,b,,MCQ
1,Motion,,level-1,8,A body moving with an initial velocity of 5 m/s accelerates at 2 m/s^2&. Its velocity after 10 seconds is,20 m/s,25 m/s,5 m/s,22.5 m/s,,b,,MCQ
1,Motion,,level-1,9,A racing car has a uniform acceleration of 4 m/s^2&. The distarnce covered by the car in 10 seconds after the start is:,200 m,100 m,300 m,400 m,,a,,MCQ
1,Motion,,level-1,10,"A moving train is brought to rest within 20 seconds by applying brakes. retardation due to brakes is 2 m/s, then the initial velocity was,",10 m/s,20 m/s,30 m/s,40 m/s,,d,,MCQ
1,Motion,,level-1,11,The figure shows the displacement-time graph of a particle moving along the x-axis. Which of the following statement will describe the motion of the particle correctly?,The particle is moving continuously,The particle is at rest.,The velocity of the particle increases upto time t~1* and then becomes constant,The particle moves with a constant velocity upto time t~1* and then stops.,CH-1-11-ROW-12,d,,MCQ
1,Motion,,level-1,12,"The displacement-time graphs of two bodies A and B are parallel lines as shown in figure.
Which of the following statements is correct?",A is moving faster than B,B is moving faster than A,B is always 20 m behind A,A is always 20 m behind B,CH-1-12-ROW-13,d,,MCQ
1,Motion,,level-1,13,A train takes,A,B,C,D,CH-1-13-ROW-14,b,,MCQ
1,Motion,,level-1,14,"A man swims from a point A on one bank of a river of width 100 m. When he swims perpendicular to the water current, he reaches the other bank 50 m downstream. The angle to the bank at which he should swim, to reach the directly opposite point B on the other bank is",10^0& upstream,20^0& upstream,30^0& upstream,60^0& upstream,CH-1-14-ROW-15,d,,MCQ
1,Motion,,level-1,15,A particle starts from rest. Its acceleration (a) versus time (t) is as shown in the figure. The maximum speed of the particle will be,110 m/s,55 m/s,550 m/s,660 m/s,CH-1-15-ROW-16,b,,MCQ
1,Motion,,level-1,16,A quantity has a value of -6.0 m/s. It may be the ,speed of a particle,velocity of a particle,acceleration of a particle,position of a particle,,b,,MCQ
1,Motion,,level-1,17,The area under a graph between two quantities is given in the unit m/s. The quantities are,velocity and time,distance and time,acceleration and time,all of these,,c,,MCQ
1,Motion,,level-1,18,The velocity-time graph of a particle is not a straight line. Its acceleration is,zero,constant,negative,variable,,d,,MCQ
1,Motion,,level-1,19,In circular motion the,direction of motion is fixed,direction of motion changes continuously,acceleration is zero,velocity is constant,,b,,MCQ
1,Motion,,level-1,20,"The ratio of magnitudes of average speed to average velocity, is",always less than one,always equal to one,always more than one,equal to or more than one,,d,,MCQ
1,Motion,,level-1,21,"Three diferent objects m~1*, m~2* and m~3* are allowed to fall from rest and from the same point O along three different frictionless paths. The speeds of the three objects, on reaching the ground, will be in the ratio of",A,B,C,D,CH-1-21-ROW-22,b,,MCQ
1,Motion,,level-1,22,"If a body is moving at constant speed in a circular path, its",velocity is constant and its acceleration is zero,velocity and acceleration both are changing direction only,velocity and acceleration both are increasing,velocity is constant and acceleration is changing direction,,b,,MCQ
1,Motion,,level-1,23,The angular velocity of the second hand of a clock is,0.105 rad/s,1.105 rad/s,2.102 rad/s,3.120 rad/s,,a,,MCQ
1,Motion,,level-1,24,A car is moving uniformly with a speed of 40 km per hour as shown in the graph. The distance travelled in 4 hours is,Area ADEF,Area ABCD,Area AHGD,Less than AFED,CH-1-24-ROW-25,b,,MCQ
1,Motion,,level-1,25,"An arrow is fired straight up, leaving the bow at 15 meters per second. If air resistance is negligible, how high will the arrow rise",10.5 m,15.0 m,11.5 m,8.5 m,,c,,MCQ
1,Motion,,level-1,26,"A firefighter drops from a window into a net. If the window is 34 metres above the net, the speed with which firefighter hits the net",18 m/s,20 m/s,12 m/s,26 m/s,,d,,MCQ
1,Motion,,level-1,27,"A pitcher throws his fastball horizontally at 42.1 meters per second. How far does it drop before crossing the plate, 18.3 meters away",0.8 m,1.2 m,2.2 m,0.93 m,,d,,MCQ
1,Motion,,level-1,28,"When the distance travelled by a body is directly proportional to the square of the time taken, the motion of the body is",uniform,uniformly accelerated,zigzag,circular,,b,,MCQ
1,Motion,,level-1,29,The average velocity of a body is equal to mean of its initial velocity and final velocity. The acceleration of the body is,variable,zero,negative,uniform,,d,,MCQ
1,Motion,,level-1,30,The distance-time graph of a body is a straight line inclined to time axis. The body is in,uniform motion,uniformly accelerated motion,uniformly retarded motion,rest position,,a,,MCQ
1,Motion,,level-1,31,The velocity-time graph of a particle is shown in figure. Which of the following statements will describe the motion of the particle correctly?,The particle hasa constant acceleration,The particle has zero displacement,The body is moving with a uniform velocity,The acceleration of the body is increasing,CH-1-31-ROW-32,a,,MCQ
1,Motion,,level-1,32,A ball is released from the top ofa tower of height h meters. It takes T seconds to reach the ground. What is the position of the ball in T/3 seconds?,h/9 meters from the ground,7h/9 meters from the ground,8h/9 meters from the ground,17h/18 meters from the ground,,c,,MCQ
1,Motion,,level-1,33,"A particle moving in a straight line covers half the distance with speed of 3 m/s. The other half of the distance is covered in two equal time
intervals with speed of 4.5 m/s and 7.5 m/s respectively. The average speed of the particle during this motion is",4.0 m/s,5.0 m/s,5.5 m/s,4.8 m/s,,a,,MCQ
1,Motion,,level-1,34,"The displacement of a body is given to be proportional to the cube of time elapsed. The magnitude of the acceleration of the body, is",constant but not zero,increasing with time,zero,decreasing with time,,b,,MCQ
1,Motion,,level-1,35,"A car complete its journey in a straight line in three equal parts with speed v~1*, v~2* and v~3* respectively, average speed v is given by",a,b,c,d,CH-1-35-ROW-36,d,,MCQ
1,Motion,,level-1,36,"A particle starts from rest and has an acceleration of 2 m/s^2& for 10 s. After that, it travels for 30 sec with constant speed and then undergoes a retardation of 4 m/s^2& and comes back to rest. The total distance covered by the particle is",650 m,750 m,700 m,800 m,,b,,MCQ
1,Motion,,level-1,37,"A river 4.0 miles wide is flowing at the rate of 2 miles/h. f minimum path is taken, find time taken by a boat to cross the river with
v=4 miles/h (in still water) is approximately",1hand 9 minutes,2h and 7 minutes,1h and 12 minutes,2h and 25 minutes,,a,,MCQ
1,Motion,,level-1,38,"A particle starts from rest and traverses a distanceI with uniform acceleration, then moves uniformly over a further distance 21 and finally comes to rest after moving a further distance 3 under uniform retardation. Assuming entire motion to be rectilinear motion, the ratio of average speed over the journey to the maximum speed on its way is",a,b,c,d,CH-1-38-ROW-39,c,,MCQ
1,Motion,,level-1,39,A point object traverses half the distance with velocity v~0*. The remaining part of the distance was covered with velocity v~1* for the half the time and with velocity v~2* for the rest half. The average velocity of the object for the whole journey is,A,B,C,D,CH-1-39-ROW-40,c,,MCQ
1,Motion,,level-1,40,"A body, starting from rest, moves in a straight line with a constant acceleration a for a time interval t during which it travels a distance s~1*. If it continues to move with the same acceleration for the next time interval t during which it travels a distance s~2*. The relation between s~1* and s~2* is",A,B,C,D,CH-1-40-ROW-41,c,,MCQ
1,Motion,,level-1,41,"A body, moving in a straight line, with an initial velocity u and a constant acceleration a, covers a distance of 40 m in the 4th second and a distance of 60 m in the 6th second. The values of u and a respectively are","10 m s^-1&, 5ms^-2&","10m s^-1&, 10 m s^-2&","5ms^-1&, 5 m s^-2&","5m s^-1&, 10 m s^-2&",,d,,MCQ
1,Motion,,level-1,42,"A car, starting from rest, has a constant acceleration a for a time interval t~1* during which it covers a distances s~1*. In the next time interval t~2* the car has a constant retardation a~2* and comes to rest after covering a distance s~2* in time t~2*. Which of the following relations is correct?",A,B,C,D,CH-1-42-ROW-43,d,,MCQ
1,Motion,,level-1,43,"Velocity-time (v - t) graph for a moving object is shown in the figure. Total displacement of the object during the time interval when thereis
non-zero acceleration and retardation is",60 m,50 m,30 m,40 m,CH-1-43-ROW-44,b,,MCQ
1,Motion,,level-1,44,"When a bullet is fired at a target, its velocity decreases by half after penetrating 30 cm into it. The additional thickness it will penetrate before coming to rest is",30 cm,40 cm,10 cm,50 cm,,c,,MCQ
1,Motion,,level-1,45,"A car accelerates from rest at a constant rate a for some time, after which it decelerates at a constant rate ß and comes to rest. If total time elapsed is t, then maximum velocity acquired by car will be",a,b,c,d,CH-1-45-ROW-46,b,,MCQ
1,Motion,,level-1,46,"The breaks applied to a scooter produces a retardation of 6 m/s^2&. If the scooter takes 2 seconds to stop after applying the breaks, the
distance it covers during this time is",12 m,10 m,8 m,6 m,,a,,MCQ
1,Motion,,level-1,47,"A bullet is fired from a rifle, emerging from the muzzle at 340 metres per second. It strikes a sandbag some distance away, having lost
10 percent of its velocity due to air resistance. If it penetrates the sandbag to a depth of 12.0 centimeters, how long did it take for the
bullet to come to rest in the sandbag",8 x 10^-4& s,2 x 10^-4& s,6 x 10^-4& s,4 x 10^-4& s,,a,,MCQ
1,Motion,,level-1,48,A body is thrown vertically up with a velocity,a,b,c,d,CH-1-48-ROW-49,d,,MCQ
1,Motion,,level-1,49,"A particde moves with a constant acceleration. The average velocities of the particle in three consecutive time intervals t~1*, t~2* and f are v~1*, v~2* and v~3* respectively. Which of the following is correct?",a,b,c,d,CH-1-49-ROW-50,b,,MCQ
