Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Structure of a Cell,,Elementary Questions,1,Choose the difference between prokaryotes and eukaryotes?,"prokaryotes have RNA, eukaryotes have DNA","prokaryotes have a nucleoid, eukaryotes have a nucleus","prokaryotes have DNA, eukaryotes have RNA","prokaryotes have a nucleus, eukaryotes have a nucleoid",,b,,MCQ
1,Structure of a Cell,,Elementary Questions,2,Who is known as the father of Microscopy?,Leuwenhoek,T. Schwann,H.G. Khorana,M.J. Schleiden,,a,,MCQ
1,Structure of a Cell,,Elementary Questions,3,Depending upon their shape bacteria can be classified as,"coccus, Bacillus, Spiral","coccus, Helix, Spiral","coccus, Spiral, Spindle","spiral, Helix, Bacillus",,a,,MCQ
1,Structure of a Cell,,Elementary Questions,4,The Gram's stain used to stain bacteria is,safranin and iodine,cotton blue and iodine,crystal Violet and iodine,crystal Violet and cotton blue,,c,,MCQ
1,Structure of a Cell,,Elementary Questions,5,Bacterial cell wall is composed mainly of,cellulose,chitin,pepitodoglycan,pectin,,c,,MCQ
1,Structure of a Cell,,Elementary Questions,6,The capsule is advantageous to a bacterium because it,allows bacterium to hide from host immune system,allows bacterium to attach to surfaces,protects it from desiccation,provides means of locomotion,,a,,MCQ
1,Structure of a Cell,,Elementary Questions,7,Prokaryotic genes contain,DNA and histones,DNA but no histones,Neither DNA nor histones,Either DNA or histones,,b,,MCQ
1,Structure of a Cell,,Elementary Questions,8,All bacteria have which of the following,mesosomes,mitochondria,chloroplast,golgi complex,,a,,MCQ
1,Structure of a Cell,,Elementary Questions,9,Bacteria lack,cell wall,cell membrane,mitochondria,cytoplasm,,c,,MCQ
1,Structure of a Cell,,Elementary Questions,10,Site of respiration in bacteria is,episome,mesosome,ribosome,mitochondria,,b,,MCQ
1,Structure of a Cell,,Elementary Questions,11,Cell wall is,permeable,selectively permeable,impemeable,differentially permeable,,a,,MCQ
1,Structure of a Cell,,Elementary Questions,12,The chemical substance present most abundant in the middle lamella is,calcium pectinate,suberin,lignin,lamellenin,,a,,MCQ
1,Structure of a Cell,,Elementary Questions,13,Basic unit of plasma membrane is,cellulose and carbohydrate,protein and phospholipid,protein and cellulose,protein and carbohydrate,,b,,MCQ
1,Structure of a Cell,,Elementary Questions,14,The most abundant lipid in a cell membrane is,phospholipid,steroid,cholesterol,cutin,,a,,MCQ
1,Structure of a Cell,,Elementary Questions,15,The main function of plasma membrane,maintain cell shape and size,control of all cellular activity,regulate the flow of materials into and out of the cell,store cell material,,c,,MCQ
1,Structure of a Cell,,Elementary Questions,16,Liquid food drinking is called,pinocytosis,phagocytosis,imbibition,exocytosis,,a,,MCQ
1,Structure of a Cell,,Elementary Questions,17,Which of the following is a type of intercellular junction between animal cells?,middle lamella,plasmodesma,desmosome,glycocalyx,,c,,MCQ
1,Structure of a Cell,,Elementary Questions,18,Ribosome was discovered by,schleiden,palade,muller,ochoa,,b,,MCQ
1,Structure of a Cell,,Elementary Questions,19,Chemical nature of ribosomes is,proteins and RNA,beta galactosidase,proteins and lipids,glucose and mannans,,a,,MCQ
1,Structure of a Cell,,Elementary Questions,20,"Ribosomes of bateria, mitochondria and chloroplasts are",50s,80s,70s,30s,,c,,MCQ
1,Structure of a Cell,,Elementary Questions,21,Eukaryotic 80S ribosomes are composed of 2 subunits of,40s and 40s,50s and 30s,60s and 40s,50s and 50s,,c,,MCQ
1,Structure of a Cell,,Elementary Questions,22,Which of the following does not have DNA?,nucleus,mitochondria,ribosomes,chloroplast,,c,,MCQ
1,Structure of a Cell,,Elementary Questions,23,Which ion holds ribosomal units together?,Ca^2+&,Mn^2+&,Mg^2+&,Na^+&,,c,,MCQ
1,Structure of a Cell,,Elementary Questions,24,The fine network of membranes distributed throughout the cytoplasm in a cell is,golgi body,endoplasmic reticulum,chromatin,lysosomes,,b,,MCQ
1,Structure of a Cell,,Elementary Questions,25,Smooth ER is well developed in cells that synthesize,steroids and lipids,proteins,carbohydrates,all of the above,,a,,MCQ
1,Structure of a Cell,,Elementary Questions,26,Granular endoplasmic reticulum is involved in,roteolysis,peptide bond formation,glycosidic bond formation,fatty acid and cholesterol synthesis,,b,,MCQ
1,Structure of a Cell,,Elementary Questions,27,"If cels are broken up and spun in a centrifuge, the new structure formed in one of the fractions is",lysosome,microsome,ribosome,centrosome,,b,,MCQ
1,Structure of a Cell,,Elementary Questions,28,Golgi apparatus is absent in,liver cells,higher plants,blue green algae,yeast,,c,,MCQ
1,Structure of a Cell,,Elementary Questions,29,The golgi complex plays a major role in,digesting proteins and Garbs,in trapping light and transforming it into hemical energy,in glycosidation of lipids and proteins to produce glycolipids and glycoproteins,as energy transferring organelles,,c,,MCQ
1,Structure of a Cell,,Elementary Questions,30,Besides giving out secretory vesicles the golgi complex is also concerned with the formation of,lysosomes,plastids,grana of chloroplast,cell plates during cell division,,a,,MCQ
1,Structure of a Cell,,Elementary Questions,31,Mitochondria were first observed b,Robert Brown,Robert Hook,Altman,Swanson,,c,,MCQ
