Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,PGCET-CIVIL-2015,,PART A,1,"The moment of a force about a point is the 
sum of the moments of the components about 
the same point is the statement of",D' Alembert's principle,Varignon's theorem,Law of dimensional Homogeneity,Lami's theorem,,B,,MCQ
1,PGCET-CIVIL-2015,,PART A,2,"Of the following, which pair of forces will be in equilibrium ?",Two coplanar and concurrent forces having different lines of action,Two like parallel forces having the same magnitude,Two equal unlike parallel forces,None of these,,D,,MCQ
1,PGCET-CIVIL-2015,,PART A,3,Sand stone is an example of,igneous rocks,igneous rocks,chemically precipitated,organically derived,,B,,MCQ
1,PGCET-CIVIL-2015,,PART A,4,Which of the following is not a characteristic of a good timber,The wood should be from the heart of a sound tree and free from sap,The annal rings should be narrow and regular,"It should be free from dead knots, shakes or other defects",should give a dull heavy sound when struck,,D,,MCQ
1,PGCET-CIVIL-2015,,PART A,5,The process of deformation of a loaded wire will stop when the force of resistance is,Less than the load suspended,Equal to the load suspended,More than the load suspended,Twice the load suspended,,B,,MCQ
1,PGCET-CIVIL-2015,,PART A,6,"A relatively slender structural element(a column of wood, concrete, reinforcedconcrete or steel) which is driven orintroduced into the soil, usually for thepurpose of providing vertical or lateral supportto a structure., is called",Pier,Cassion,Pile,Well foundation,,C,,MCQ
1,PGCET-CIVIL-2015,,PART A,7,"The member of a sloping roof, which supportsthe battens or boardings under the roofcovering is called",Purlins,Principal rafter,Common rafter,Valley rafter,,C,,MCQ
1,PGCET-CIVIL-2015,,PART A,8,"The portion of a stairway, comprising of thetread and riser, which permits ascent ordescent from one floor to another is called",Baluster,Flight,Landing,Step,,D,,MCQ
1,PGCET-CIVIL-2015,,PART A,9,The minimum particle size of fine aggregate is,0.75 mm,0.125 mm,0.075 mm,0.045 mm,,C,,MCQ
1,PGCET-CIVIL-2015,,PART A,10,Suitable maximum particle size for use ascoarse aggregates for reinforced concretework is,30 mm,25mm,10mm,20mm,,D,,MCQ
1,PGCET-CIVIL-2015,,PART A,11,"If the chain used in measuring length of aline is too long, the error in measureddistance will be",Negative,Positive,compensating error,nil,,A,,MCQ
1,PGCET-CIVIL-2015,,PART A,12,In the quadrantal bearing system a wholecircle bearing of 280° 30' will be expressed as,N19°30 ' W,N80°30' W,W 79°30'N,N 79°30'W,,D,,MCQ
1,PGCET-CIVIL-2015,,PART A,13,"Archimede's principle of buoyancy statesthat, when a body is partially or whollysubmerged in a liquid, it is buoyed up by anupward force equal to",The sum of weight of the body and thefluid displaced by the bod,The difference between the weight ofthe body and the weight of the fluiddisplaced by the body,The weight of the body,The weight of the fluid displaced by the,,D,,MCQ
1,PGCET-CIVIL-2015,,PART A,14,An orifice is said to be small if,The diameter of the orifice is less than 10 cm,Depth of the water above the top of theorifice is greater than the depth of theorifice,Head causing the flow is three timesthe depth of the orifice,Head causing the flow is four times thedepth of the orifice,,B,,MCQ
1,PGCET-CIVIL-2015,,PART A,15,"A channel of rectangular cross - section willbe most economical (i.e, it gives themaximum discharge for a given amount ofexcavation) if",Depth of water is twice the breadth,Depth of water is equal to the breadth,Depth of water is one-half the breadth,Depth of water is two-thirds of the breadth,,C,,MCQ
1,PGCET-CIVIL-2015,,PART A,16,"Reynold found from his experimental results that,for the lower critical velocity lvd/n equal to",4000,3000,2500,2000,,D,,MCQ
1,PGCET-CIVIL-2015,,PART A,17,Differential manometer is used to measure,Atmospheric pressure,Very low pressure,Pressure at any point in liquid flowingthrough pipe,The difference in pressure between twopoints,,D,,MCQ
1,PGCET-CIVIL-2015,,PART A,18,"A plane, which is perpendicular to the plumbline through a point and is tangential to thelevel surface at that point, is called a",Tangential plane,Vertical plane,Horizontal plane,Level plane,,C,,MCQ
