Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Measurement and Kinematics,Assessment - I,,1,"Note: Take the value of ‘g’ as 10 m s^–2& wherever required.
Which of the following is g cm s^–2& the unit for?",Force,Momentum,Energy,Impulse,,a,,MCQ
1,Measurement and Kinematics,Assessment - I,,2,"If the dimensional formula of a physical quantity is [MLT^–2&], then what will be its SI unit?",Kg^2&s^-*2&,Kg m s^-*2&,g cm s,Kg m s,,b,,MCQ
1,Measurement and Kinematics,Assessment - I,,3,What is the length of the object shown in the gure given below?,6 mm,6.3 mm,6.87 mm,6.7 mm,CH-1-3-ROW-4,d,,MCQ
1,Measurement and Kinematics,Assessment - I,,4,Which of the following equations is dimensionally incorrect?,v~2& = as,s = ut,s = at,s = at^2&,,c,,MCQ
1,Measurement and Kinematics,Assessment - I,,5,"When thimble of a screw guage is given 40 complete rotations, the tip of the screw advances 20 mm and when the studs of the screw gauge are in contact, the 85th division of the head scale is on the index line. What will be the zero correction of the screw gauge?",0.075 mm,0.75 mm,-0.075,-0.75 mm,,a,,MCQ
1,Measurement and Kinematics,Assessment - I,,6,"What will be the acceleration (in m s^-2&) of a body which is initially moving with a velocity of 10 m s^-1&, and attains a velocity of 20 m s^-1& in 2 s?",2,10,5,1,,c,,MCQ
1,Measurement and Kinematics,Assessment - I,,7,"If a body starts with a velocity 2 m s^-1& and moves with an acceleration of 5 m s^-2&, then what will be the distance travelled by it in the 5th second?",18 m,24.5 m,27.5 m,20 m,,b,,MCQ
1,Measurement and Kinematics,Assessment - I,,8,An object dropped from the top of a building travels 25 m in the last second of its motion. What will be the total time (in seconds) taken to reach the ground?,4.5,2.5,3,6.5,,c,,MCQ
1,Measurement and Kinematics,Assessment - I,,9,An object is thrown vertically upward with a velocity 15 m s^-1&. After how many seconds will it strike the ground?,6,5,2,3,,d,,MCQ
1,Measurement and Kinematics,Assessment - I,,10,An object is projected horizontally with a velocity of 10 m s^–1& from the top of a tower of height 50 m. Determine the horizontal distance travelled by the object.,10 m,10Ö10 m,12Ö2 m,10Ö2 m,,b,,MCQ
1,Measurement and Kinematics,Assessment - I,,11,"An object starts from rest and moves with a uniform acceleration for 10 s. Then the object moves with a uniform velocity for the next 10 s. For the next 2 s, the body moves with a uniform retardation and comes to a rest. Write the steps in proper sequence to determine the total distance travelled.
(i) Determine the distance travelled by the body when it travels with uniform acceleration (s~1*).
(ii) Determine the distance travelled by the body when it travels with uniform velocity (s~2*).
(iii) Determine the distance travelled by the body when it travels with uniform retardation (s~3*).
(iv) Determine the final velocity in the first part of its motion.
(v) Determine s~1* + s~2* + s~3*.","I, ii, iv, iii, v","I, ii, iii, iv, i","I, iv, iii, ii, v","I, iv, ii, iii, v",,d,,MCQ
1,Measurement and Kinematics,Assessment - I,,12,Match the statements of Column A with those of Column B.,P → q; Q → p; R → r,P → r; Q → p; R → q,P → p; Q → r; R → q,P → r; Q → q; R → p,CH-1-12-ROW-13,c,,MCQ
1,Measurement and Kinematics,Assessment - I,,13,"If a vertically projected body takes 3 s to reach the maximum height, then what will be the time (in seconds) taken to reach half of the maximum height?",0.88,1.52,2.15,3.27,,a,,MCQ
1,Measurement and Kinematics,Assessment - I,,14,"A particle is projected such that its velocity is 10 m s^-1& and makes angle of 45^0& with horizontal on the surface of a planet, where the weight of the body is 200 N. If the weight of the body on the Earth is 150 N, determine maximum height reached by the body.",2.563 m,1.875 m,16.232 m,2.255 m,,b,,MCQ
1,Measurement and Kinematics,Assessment - I,,15,An object is thrown vertically upwards with a velocity 20 m s^-1&. After how many seconds will its displacement be zero?,2 s,4 s,8 s,16 s,,b,,MCQ
1,Measurement and Kinematics,Assessment - II,,1,Which of the following is kg m^2& s^-2& the unit for?,Power,energy,foce,momentum,,b,,MCQ
1,Measurement and Kinematics,Assessment - II,,2,"If the dimensional formula of a physical quantity is [MLT^-1&], then what will be its CGS unit?",g cm s^-1&,g cm s^-2&,g cm s,g^-1& s cm,,a,,MCQ
1,Measurement and Kinematics,Assessment - II,,3,What is the length of the object shown in the figure given below?,7 mm,7.8 mm,7.2 mm,9 mm,CH-1-3-ROW-19,d,,MCQ
1,Measurement and Kinematics,Assessment - II,,4,Which of the following equations is dimensionally incorrect?,v = 2Öas,v = at,v = st,s=1/2 at^2&,,c,,MCQ
1,Measurement and Kinematics,Assessment - II,,5,"When the thimble of a screw gauge is given 10 complete rotations, the tip of the screw advances 20 mm. When the studs of the screw gauge are in contact, the 90th division of the head scale is on the index line. 
What is the zero error of the instrument?",0.02 mm,-0.2 mm,0.002 mm,0.2 mm,,b,,MCQ
1,Measurement and Kinematics,Assessment - II,,6,"A body is moving with a uniform acceleration of 1 m s^-2&. If its initial velocity is zero, then determine its velocity after 5 s.",1 m s^-1&,2 m s^-1&,10 m s^-1&,5 m s^-1&,,d,,MCQ
1,Measurement and Kinematics,Assessment - II,,7,"A body travels 20 m in the 5th second. If it starts from rest, then what will be its acceleration (in m s^-2&)?",4.4,5.5,6.6,3.3,,a,,MCQ
1,Measurement and Kinematics,Assessment - II,,8,An object dropped from the top of a cliff reaches the ground in 2 s. What will be the distance (in metre) travelled in the last second?,25,20,15,10,,c,,MCQ
1,Measurement and Kinematics,Assessment - II,,9,A ball projected upwards returns back to the initial position in 4 s. What will be its initial velocity (m s^-1&)?,20,30,40,50,,a,,MCQ
1,Measurement and Kinematics,Assessment - II,,10,"An object is projected from certain height horizontally, with a velocity 20 m s^-1&, hits the ground in 3 s. Determine the height above the ground.",80 m,65 m,30 m,45 m,,d,,MCQ
1,Measurement and Kinematics,Assessment - II,,11,"An object is projected vertically upwards from the top of a chiff of height ‘h’ with an initial velocity ‘u’. Write the steps to determine the time taken by the body to reach the ground in proper sequence.
(i) Determine the displacement and note down the initial velocity of the body.
(ii) Choose an equation of motion.
(iii) Substitute the values of the initial velocity and displacement.
(iv) Assign the signs to the displacement and the initial velocity according to the sign convention.
(v) Obtain the time taken by the body to reach the ground.","I, ii, iv, iii, v","I, ii, iii, iv, v","I, iv, ii, iii, v","I, iv, iii, ii, v",,c,,MCQ
1,Measurement and Kinematics,Assessment - II,,12,Match the statements of Column A with those of Column B.,P → q; Q → p; R → r,P → r; Q → p; R → q,P → p; Q → q; R → r,P → q; Q → r; R → p,CH-1-12-ROW-28,a,,MCQ
1,Measurement and Kinematics,Assessment - II,,13,A vertically projected body reaches a maximum height of 20 m. Find the time taken by it to travel last 10 m in the upward journey.,1.5 s,0.5 s,18 s,2 s,,a,,MCQ
1,Measurement and Kinematics,Assessment - II,,14,"The ratio of the weight of a body on the Earth and another planet is 3 : 2. If the body is projected with a velocity 20 m s^-1&, such that it makes an angle 30^0& with the horizontal, then determine the maximum horizontal distance travelled by it.",45Ö2 m,15Ö2 m,30Ö3 m,20Ö3 m,,c,,MCQ
1,Measurement and Kinematics,Assessment - II,,15,An object is thrown vertically upwards. Its displacement become zero after 6 s. Determine its initial velocity.,40 m s^-1&,5 m s^-1&,10 m s^-1&,30 m s^-1&,,d,,MCQ
