Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Kinematics,Concept Application-Level-1,True - False,1,The area under acceleration time graph gives change in velocityh,,,,,,1,,TF
1,Kinematics,Concept Application-Level-1,True - False,2,"A particle cannot have its displacement (x) versus time (t) graph, as shown in the figure below.
Graph",,,,,CH-1-2-ROW-3,1,,TF
1,Kinematics,Concept Application-Level-1,True - False,3,The direction of acceleration due to gravity depends on the direction of motion of a body.,,,,,,0,,TF
1,Kinematics,Concept Application-Level-1,True - False,4,A projectile has constant speed in horizontal direction.,,,,,,1,,TF
1,Kinematics,Concept Application-Level-1,True - False,5,The displacement of a body has the same direction as that of its average velocity.,,,,,,1,,TF
1,Kinematics,Concept Application-Level-1,True - False,6,A body can have constant velocity and still have varying speed.,,,,,,0,,TF
1,Kinematics,Concept Application-Level-1,True - False,7,The velocity of a body can change even if its acceleration is zero.,,,,,,0,,TF
1,Kinematics,Concept Application-Level-1,Fill in the blanks,8,"For a projectile, the magnitude of acceleration in the horizontal direction is zero and that in the vertical direction is _________.",,,,,,g,,FIB
1,Kinematics,Concept Application-Level-1,Fill in the blanks,9,"If a particle moves from A to B along a straight line with velocity v~1* and then B to A with velocity v~2*, its average velocity is _________.",,,,,,0,,FIB
1,Kinematics,Concept Application-Level-1,Fill in the blanks,10,The time taken by a body which is projected horizontally from a height ‘h’ from the ground to reach the ground is _________.,Ö2h/g,,,,,DUMMY,,FIB
1,Kinematics,Concept Application-Level-1,Fill in the blanks,11,"Two balls are dropped from heights h~1* and h~2*, respectively. The ratio of their time of descents is _________.",Öh~1* : Öh~2* ,,,,,DUMMY,,FIB
1,Kinematics,Concept Application-Level-1,Fill in the blanks,12,"A body is projected vertically upward with velocity u m s^-1&. When it returns to the point of projection, its velocity is -u m s^-1&.",,,,,,1,,TF
1,Kinematics,Concept Application-Level-1,Fill in the blanks,13,The _________ of motion changes during the motion of a projectile.,,,,,,direction,,FIB
1,Kinematics,Concept Application-Level-1,Fill in the blanks,14,"During upward motion of a body projected vertically upward, the angle between velocity and ‘g’ is180^0&.",,,,,,1,,TF
1,Kinematics,Concept Application-Level-1,Match the following,15,Match the following,"A:b, B:a, C:d, D:c","A:b, B:a, C:c, D:d","A:b, B:d, C:a, D:c","A:c, B:a, C:d, D:b",CH-1-15-ROW-16,A,,MCQ
1,Kinematics,Concept Application-Level-1,MCQ,16,A body projected vertically up has displacement of 16 m in the first n seconds while it was moving up. Its magnitude of displacement in the last n second while falling down is,8 m,4 m,16 m,2 m,,c,,MCQ
1,Kinematics,Concept Application-Level-1,MCQ,17,The acceleration of a moving body can be found out from,slope of velocity time graph.,area under velocity time graph.,slope of distance time graph.,area under distance time graph.,,A,,MCQ
1,Kinematics,Concept Application-Level-1,MCQ,18,"Two bodies are projected from the ground with the same speed. If the angles of their projection from the ground are 45^0& and 15^0&, respectively, the ratio of their ranges is",1 : 2,2 : 1,Ö3 : 2,1 : Ö2,,b,,MCQ
1,Kinematics,Concept Application-Level-1,MCQ,19,"The displacement–time, graph for a body thrown vertically up and falling back to the point of projection, is _________.",a,b,c,d,CH-1-19-ROW-20,A,,MCQ
