Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Cell -  The Basic Unit of Life,,,1,The first living cell was discovered by ________,,,,,,Anton Van Leeuwenhoek,,FIB
1,Cell -  The Basic Unit of Life,,,2,________ is the basic structural and functional unit of life.,,,,,,Cell,,FIB
1,Cell -  The Basic Unit of Life,,,3,"Take the odd one out.
Amoeba, Bacteria, Plant, Honeybee.",,,,,,Bateria (All others are eukaryotes),,FIB
1,Cell -  The Basic Unit of Life,,,4,The concept ‘Omnis cellula e cellula’ was put forward by ________.,,,,,,Rudolf Virchow,,FIB
1,Cell -  The Basic Unit of Life,,,5,The term ‘protoplasm’ was coined by ________.,,,,,,Purkinje,,FIB
1,Cell -  The Basic Unit of Life,,,6,The smallest cell is ________.,,,,,,Mycoplasma,,FIB
1,Cell -  The Basic Unit of Life,,,7,The largest cell is ________.,,,,,,Ostrich egg,,FIB
1,Cell -  The Basic Unit of Life,,,8,Lactobacillus is ________ shaped.,,,,,,Rod,,FIB
1,Cell -  The Basic Unit of Life,,,9,Mycoplasma lacks ________.,,,,,,Cell Wall,,FIB
1,Cell -  The Basic Unit of Life,,,10,Phosphate granules are examples for ________.,,,,,,Inclusion Bodies,,FIB
1,Cell -  The Basic Unit of Life,,,11,The inner foldings of the mitochondrial inner membrane are called ________.,,,,,,Cristae,,FIB
1,Cell -  The Basic Unit of Life,,,12,Chlorophylls are present in ________.,,,,,,Thylakoids,,FIB
1,Cell -  The Basic Unit of Life,,,13,________ is known as the energy currency of the cell.,,,,,,ATP,,FIB
1,Cell -  The Basic Unit of Life,,,14,Detoxification of poisons takes place in ________.,,,,,,Smooth endolasmic reticulum,,FIB
1,Cell -  The Basic Unit of Life,,,15,Thylakoids of different grana are connected by ________.,,,,,,Stroma lamellae,,FIB
1,Cell -  The Basic Unit of Life,,,16,"Specialized peroxisomes in plants are called
________.",,,,,,Glyoxysomes,,FIB
1,Cell -  The Basic Unit of Life,,,17,Thin thread-like structure present inside the nucleus is called ________.,,,,,,Chromatin Material,,FIB
1,Cell -  The Basic Unit of Life,,,18,The membrane surrounding vacuole is called ________.,,,,,,Tonoplast,,FIB
1,Cell -  The Basic Unit of Life,,,19,"In plant, reserve food is stored in the form of ________.",,,,,,Starch,,FIB
1,Cell -  The Basic Unit of Life,,,20,Plant cell wall is made up of ________.,,,,,,Cellulose,,FIB
1,Cell -  The Basic Unit of Life,,,21,Site for protein manufacture is,Cell Wall,Cytoplasm,Ribosome,Inclusion bodies,,c,,MCQ
1,Cell -  The Basic Unit of Life,,,22,The longest cell is,Mycoplasma,Neuron,PPLO,Ostrich egg,,b,,MCQ
1,Cell -  The Basic Unit of Life,,,23,"Which of the following can change its shape?
(i) Amoeba      (ii) Neuron        (iii) WBC        (iv) RBC",(i) only,(i) and (ii),(i) and (iii),"(i), (ii), (iv)",,c,,MCQ
1,Cell -  The Basic Unit of Life,,,24,Nucleoid is the region where ________ is/are located,Genetic material,Proteins,Pigments,Nutrients,,a,,MCQ
1,Cell -  The Basic Unit of Life,,,25,Bacterial cell wall is made up of,Cellulose,Peptidoglycan,Hemicellulose,Pectin,,b,,MCQ
1,Cell -  The Basic Unit of Life,,,26,Match the following,a,b,c,d,CH-1-26-ROW-27,d,,MCQ
1,Cell -  The Basic Unit of Life,,,27,Select the wrong statement.,"Plant cells are surrounded by a living, rigid outer layer called cell wall.",Plant cell wall is made up of cellulose.,Bacterial cell wall is made up of peptidoglycan.,Both prokaryotic and eukaryotic plasma membranes are composed of lipids and proteins,,a,,MCQ
1,Cell -  The Basic Unit of Life,,,28,Adjacent plant cells are joined together by,Middle lamella,Plasmodesmata,Mesosomes,Plasma membrane,,a,,MCQ
1,Cell -  The Basic Unit of Life,,,29,Which of the following is the correct statement?,Endoplasmic reticulum is the site of protein manufacture in bacteria.,The membrane-bound inclusion bodies help in the storage of nutrients in prokaryotes.,The living material inside the cell is called protoplasm.,Mesosome is the cell wall extension that helps in photosynthesis.,,c,,MCQ
1,Cell -  The Basic Unit of Life,,,30,"Which one of the followings are included in protoplasm?
(i) Nucleus           (ii) Cytoplasm
(iii) Organelles    (iv) Nucleoplasm",(i) and (ii),"(i), (ii), (iii)",(ii) only,"(i), (ii), (iii), (iv)",,d,,MCQ
1,Cell -  The Basic Unit of Life,,,31,Ribosomes are composed of ________ and ________,"Lipids, proteins","RNA, proteins","DNA, proteins",Proteins only,,b,,MCQ
1,Cell -  The Basic Unit of Life,,,32,The organelle that is involved in the formation of lysosome is,Golgi apparatus,Mitochondria,Endoplasmic reticulum,Vacuole,,a,,MCQ
1,Cell -  The Basic Unit of Life,,,33,Which of the following organelles are covered by single membrane?,Ribosome and lysosome,Lysosome and nucleus,Ribosome and vacuole,Lysosome and vacuole,,d,,MCQ
1,Cell -  The Basic Unit of Life,,,34,"Select the correct statements.
A. Ribosomes are covered by a double-layered membrane.
B. Ribosomes are composed of RNA and proteins.
C. Chlorophyll is absent in chromoplast.
D. Elaioplasts store protein.",A and D,B and C,C and D,B and D,,b,,MCQ
1,Cell -  The Basic Unit of Life,,,35,Which of the following organelles possess their own DNA and ribosomes?,Mitochondria and plastids,Plastids and endoplasmic reticulum,Mitochondria and Golgi complex,Golgi complex and endoplasmic reticulum,,a,,MCQ
1,Cell -  The Basic Unit of Life,,,36,Energy is produced in the form of _________,ATP,GTP,AMP,ADP,,a,,MCQ
1,Cell -  The Basic Unit of Life,,,37,Which of the following statement is wrong?,Vacuoles are either absent or small in animal cells.,Centrosomes are absent in animal cells,Centrosomes are absent in plant cells,Centrosomes help in cell division,,b,,MCQ
1,Cell -  The Basic Unit of Life,,,38,Glycosomes are specialized peroxisomes found in,Animals,Plants,Protists,Bacteria,,c,,MCQ
1,Cell -  The Basic Unit of Life,,,39,Functional segments of DNA are called,Genes,Chromosomes,Chromatin,Centrosome,,a,,MCQ
1,Cell -  The Basic Unit of Life,,,40,Which of the following cell lacks nucleus?,Mature RBC,Mature WBC,Neutrophils,Paramoecium,,a,,MCQ
2,Tissues and Body Movements,,,1,The second phase of mitosis is ________.,,,,,,Metaphase,,FIB
