Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Nature of Matter,Assessment Test - I,,1,"In which of the following cases, phase transition will be visible?",A test tube filled with distilled water kept in a container with boiling sea water.,A test tube fi lled with distilled water kept in a container with boiling distilled water.,A test tube fi lled with sea water kept in a container with boiling distilled water.,A test tube fi lled with sea water kept in a container fi lled with the same sample of sea water which is boiling.,,a,,MCQ
1,Nature of Matter,Assessment Test - I,,2,Which of the following activities does not involve the principle that evaporation causes cooling?,Cooling of water in an earthen pot.,Cooling sensation perceived while using perfume.,Fogging on spectacles after coming out from an air-conditioned car.,Usage of air cooler,,c,,MCQ
1,Nature of Matter,Assessment Test - I,,3,A metallic wire can be cut through ice even by keeping the ice block intact. Identify the term which describes this activity.,Regulation,Eutrophication,Osmoregulation,Condensation,,a,,MCQ
1,Nature of Matter,Assessment Test - I,,4,Which of the following applications is based on the principle of elevation in freezing point with decrease in external pressure?,Cooking of food at high altitudes using pressure cooker.,Addition of alcohol to water used as a coolant.,Existence of ice below 0^0&C on mountain peaks.,Survival of aquatic animals in cold countries in winter at above 0^0&C.,,c,,MCQ
1,Nature of Matter,Assessment Test - I,,5,"Arrange the following methods of separation in the order of the following principles exploited for that purpose: Difference in boiling points; difference in solubility; selective solubility; and differential densities of solid and liquid particles.
(A) Solvent extraction             (B) Centrifugation
(C) Fractional distillation        (D) Fractional crystallization",ACDB,CADB,CDAB,DCBA,,c,,MCQ
1,Nature of Matter,Assessment Test - I,,6,"Arrange the following in the increasing order of boiling points.
(A) Distilled water at sea level    (B) Drinking water at sea level
(C) Distilled water at hill station (D) Sea water at sea level",DBAC,CABD,BADC,CBAD,,b,,MCQ
1,Nature of Matter,Assessment Test - I,,7,Which of the following is not an application of chromatography.,Separation of components of blood,Identification of impurity in a mixture.,Identification of food adulteration.,Doping tests conducted in sports events,,a,,MCQ
1,Nature of Matter,Assessment Test - I,,8,"Assertion (A) : Ethyl alcohol and water can be separated by separating funnel.
Reason (R) : Ethyl alcohol and water differ with respect to their boiling points.",Both A and R are true and R is the correct explanation of A.,"Both A and R are true, but R is not the correct explanation of A.",A is true and R is false.,A is false and R is true.,,d,,MCQ
1,Nature of Matter,Assessment Test - I,,9,Identify the odd one among the following.,Iodine + sulphur,Ammonium chloride + sand,Sulphur + sand,Naphthalene + BaSO~4*,,c,,MCQ
1,Nature of Matter,Assessment Test - I,,10,"Two liquids ‘X’ and ‘Y’ can be separated by a separating funnel. Y and water can also be separated by the same method. Which of the following conclusions can be inferred on the basis of the above information?
i) X and Y are miscible liquids.
ii) A mixture of X and water can be separated by fractional distillation.
iii) X and Y are immiscible liquids.
iv) A mixture of Y and water can also be separated by fractional distillation.",(i) and (ii),(iii) and (iv),(ii) and (iii),"(ii), (iii) and (iv)",,c,,MCQ
1,Nature of Matter,Assessment Test - I,,11,Which of the following statements is false regarding fractional crystallization?,A hot saturated solution of mixture is taken.,Crystals of the less soluble component get separated first,The entire amount of component can be separated by cooling up to 0^0&C.,A more soluble component is left behind in the solution.,,c,,MCQ
1,Nature of Matter,Assessment Test - I,,12,Match the statements of Column A with those of Column B.,a,b,c,d,CH-1-12-ROW-13,c,,MCQ
1,Nature of Matter,Assessment Test - I,,13,Which of the following mixtures can be separated by fractional crystallization?,P + NaNO~3*,NaNO~3* + NaCl,KNO~3* + C,NaCl + S,,b,,MCQ
1,Nature of Matter,Assessment Test - I,,14,"Assertion (A) : A mixture of SO~2* and water can be separated by heating.
Reason (R) : SO~2* is highly soluble in water.",Both A and R are true and R is the correct explanation of A.,"Both A and R are true, but R is not the correct explanation of A.",A is true and R is false.,A is false and R is true.,,d,,MCQ
1,Nature of Matter,Assessment Test - I,,15,Which of the following methods of separation is used in the refining of petroleum?,Fractional evaporation,Fractional distillation,Fractional crystallization,Solvent extraction,,b,,MCQ
1,Nature of Matter,Assessment Test - II,,1,"In which of the following cases, is phase transition not at all possible?
i) Test tube with sea water in ice.
ii) Test tube with sea water in freezing mixture.
iii) Test tube with distilled water in ice.
iv) Test tube with distilled water in freezing mixture.",(i) and (iii),(ii) and (iv),(ii) and (iii),(i) and (iv),,a,,MCQ
1,Nature of Matter,Assessment Test - II,,2,"Identify the true statements regarding evaporation from the following:
i) Rate of evaporation increases with humidity.
ii) Evaporation is a surface phenomenon.
iii) Evaporation results in decrease in the temperature of the surroundings.
iv) Rate of evaporation is independent of external pressure.",(i) and (iii),(ii) and (iv),(ii) and (iii),(i) and (iv),,c,,MCQ
1,Nature of Matter,Assessment Test - II,,3,"Identify the odd one among the following with respect to the principle
involved.",Skating on ice.,Formation of water droplets on the surface of a tumbler filled with ice.,Fogging of exhaled air in winter morning.,Formation of dew,,a,,MCQ
1,Nature of Matter,Assessment Test - II,,4,"Assertion (A) : Sea water freezes below 0^0&C.
Reason (R) : Freezing point increases due to the addition of impurities.",Both A and R are true and R is the correct explanation of A.,"Both A and R are true, but R is not the correct explanation of A.",A is true and R is false.,A is false and R is true.,,c,,MCQ
1,Nature of Matter,Assessment Test - II,,5,"Arrange the following mixtures in the order of separation methods given below:
Gravity separation, centrifugation, fractional distillation, distillation, separating funnel
(A) KNO3 + water              (B) Petrol + alcohol
(C) Water + alcohol           (D) Sand + finely powdered chalk
(E) Blood",DECAB,DCAEB,CADEB,CEABD,,a,,MCQ
1,Nature of Matter,Assessment Test - II,,6,"Arrange the following in the decreasing order of cooking time.
A) Cooking in a vessel covered with a lid at a hill station.
B) Cooking in pressure cooker at sea level.
C) Cooking in open vessel at hill station.
D) Cooking in pressure cooker at hill station.",ADCB,CDBA,DCAB,CADB,,d,,MCQ
1,Nature of Matter,Assessment Test - II,,7,Identify the term which is not related to the method of separation of leaf pigments.,Distillate,Stationary phase,Mobile phase,Adsorption,,a,,MCQ
1,Nature of Matter,Assessment Test - II,,8,"A mixture of two liquids ‘X’ and ‘Y’ is taken. The boiling points of X and Y are 80^0&C and 110^0&C, respectively. Which of the following conclusions would be the correct experimental result?",X is the distillate and is collected in the receiver flask.,Y is the distillate and is collected in the receiver flask.,X is the distillate and is left in the distillation flask.,Y is the distillate and is left in the distillation flask.,,a,,MCQ
1,Nature of Matter,Assessment Test - II,,9,Which of the following mixtures can be separated by the method represented by the following figure?,Sulphur and sand,Potassium nitrate and potassium chloride,Iodine and ammonium chloride,Ammonium chloride and sand,CH-1-9-ROW-25,d,,MCQ
1,Nature of Matter,Assessment Test - II,,10,"The following figure represents a separation method. By observing the figure, identify the true statements among the following.
A) A and B are immiscible liquids.
B) A and B form a homogeneous mixture.
C) Liquid A is heavier than liquid B.
D) Liquid B is denser than liquid A.",(A) and (B),(C) and (D),(A) and (D),(B) and (D),CH-1-10-ROW-26,c,,MCQ
1,Nature of Matter,Assessment Test - II,,11,"When a hot, saturated solution of two substances ‘X’ and ‘Y’ at 80^0&C is cooled slowly, X first crystallizes and settles down at 30^0&C, whereas Y remains in the solution. Identify the true statement which complies with the above experimental result.",X is more soluble than Y at 80^0&C.,X is more soluble than Y at 30^0&C.,Solubility of Y at 30^0&C is more than that of X.,Solubility of Y is more than that of X from 80^0&C to 30^0&C.,,d,,MCQ
1,Nature of Matter,Assessment Test - II,,12,Match the statements of Column A with those of Column B.,A,B,C,D,CH-1-12-ROW-28,a,,MCQ
1,Nature of Matter,Assessment Test - II,,13,Two solids ‘X’ and ‘Y’ can be separated by using water as a solvent. Identify X and Y.,NaCl and P,S and C,NaCl and C,NaCl and Sugar,,c,,MCQ
1,Nature of Matter,Assessment Test - II,,14,"Assertion (A) : On opening a Pepsi bottle, CO2 comes out with fizzing
sound.
Reason (R) : Solubility of a gas is inversely proportional to pressure.",Both A and R are true and R is the correct explanation of A.,"Both A and R are true, but R is not the correct explanation of A.",A is true and R is false.,A is false and R is true.,,c,,MCQ
1,Nature of Matter,Assessment Test - II,,15,Which among the following applications is not based on the principle of fractional distillation?,Production of petrol from crude oil,Making of coffee decoction,Purification of ethyl alcohol,Separation of acetone and water,,b,,MCQ
1,Nature of Matter,Assessment Test - III,,1,"Assertion (A) : Wet clothes dry faster on a windy day.
Reason (R) : Rate of evaporation is proportional to humidity.",Both A and R are true and R is the correct explanation of A.,"Both A and R are true, but R is not the correct explanation of A.",A is true and R is false.,A is false and R is true.,,c,,MCQ
1,Nature of Matter,Assessment Test - III,,2,"Assertion (A) : Compounds are invariably homogeneous.
Reason (R) : Compounds are constituted of only one kind of molecules distributed uniformly.",Both A and R are true and R is the correct explanation of A.,"Both A and R are true, but R is not the correct explanation of A.",A is true and R is false.,A is false and R is true.,,a,,MCQ
