Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Nature of Matter,Concept Application Level-1,,1,Boiling point of rainwater is less than that of sea water.,,,,,,1,,TF
1,Nature of Matter,Concept Application Level-1,,2,Liquid has only one free surface.,,,,,,1,,TF
1,Nature of Matter,Concept Application Level-1,,3,The rate of evaporation decreases with increase in humidity.,,,,,,1,,TF
1,Nature of Matter,Concept Application Level-1,,4,"During melting of a solid, there is no change in the kinetic energy of molecules.",,,,,,1,,TF
1,Nature of Matter,Concept Application Level-1,,5,The reaction of sodium chloride with bromine gas is a chemical displacement reaction.,,,,,,0,,TF
1,Nature of Matter,Concept Application Level-1,,6,The strong intermolecular forces of attraction are responsible for high rigidity of solids.,,,,,,1,,TF
1,Nature of Matter,Concept Application Level-1,,7,Burning of a piece of magnesium wire is a synthesis reaction.,,,,,,1,,TF
1,Nature of Matter,Concept Application Level-1,,8,"A mixture of SO~2*, H~2* and Cl~2* can be separated by _________ followed by _________.","Diffusion, Fractional evaporation",,,,,DUMMY,,FIB
1,Nature of Matter,Concept Application Level-1,,9,A liquid wets the given surface if __________ forces are predominant over ________forces.,"Adhesive forces, Cohesive forces",,,,,DUMMY,,FIB
1,Nature of Matter,Concept Application Level-1,,10,"A mixture contains nitre, common salt and silver chloride as the components. The different separation techniques involved are __________, ___________ and _________.","Solvent extraction, Filtration, Fraction Crystallisation",,,,,DUMMY,,FIB
1,Nature of Matter,Concept Application Level-1,,11,"The reactions of a compound KX with fluorine, chlorine, bromine in three different reactions are given below:
2KX + F~2* → 2KF + X~2*
2KX + Cl~2* → 2KCl + X~2*
2KX + Br~2* → 2KBr + X~2*
then KX is ____________.",,,,,,KI,,FIB
1,Nature of Matter,Concept Application Level-1,,12,"In two closed containers, substances A and B are present. After sometime, the lid of the container containing substance A alone got off with a lot of pressure. This is because substance A _______.",Sublimes at Normal atmospheric pressure,,,,,DUMMY,,FIB
1,Nature of Matter,Concept Application Level-1,,13,"If cold water is poured on a flask containing very hot distilled water and water vapour, the water inside the flask started to boil below 100^0&C. The principle involved is __________.",Decreasing pressure decreases the boiling point,,,,,DUMMY,,FIB
1,Nature of Matter,Concept Application Level-1,,14,"Three solid substances x, y and z are heated, the number of free surfaces of substances x and y decreases to zero and one, respectively. The number of free surfaces of z does not change. The substances associated with an increase in PE is/are __________.","x, y",,,,,DUMMY,,FIB
1,Nature of Matter,Concept Application Level-1,,15,Match the following,"A:f, B:I, C:a, D:h, F:g, G:d, H:e, I:c","A:I, B:g, C:a, D:h, F:f, G:d, H:e, I:c","A:I, B:f, C:a, D:h, F:g, G:d, H:c, I:e","A:I, B:f, C:a, D:h, F:g, G:d, H:e, I:c",CH-1-15-ROW-16,d,,MCQ
1,Nature of Matter,Concept Application Level-1,,16,"The bulb of a thermometer when dipped in petrol and then taken out, the level of the mercury thread in the thermometer",starts falling,starts rising,remains at the same level,initially falls and then rises,,a,,MCQ
1,Nature of Matter,Concept Application Level-1,,17,The high diffusibility of gases is due to,high intermolecular forces of attraction,high KE of molecules,restricted translatory motion in upward direction,All the above,,b,,MCQ
1,Nature of Matter,Concept Application Level-1,,18,"Water kept in an earthen pitcher, during summer days becomes very cold due to",condensation,evaporation,freezing,fusion,,b,,MCQ
1,Nature of Matter,Concept Application Level-1,,19,The electric bulb on long use forms a black coating on its inner surface. The process associated with this is,melting of tungsten,sublimation of tungsten,oxidation of tungsten,reduction of tungsten,,b,,MCQ
1,Nature of Matter,Concept Application Level-1,,20,Identify a physical change among the following,respiration,digestion of food,burning of wax,glowing of an electric bulb,,d,,MCQ
1,Nature of Matter,Concept Application Level-1,,21,"During a phase transition of a substance the temperature
(T) versus heat energy (Q) graph is shown below. Identify the regions of the graph which show an increase in only PE.","AB, BC","BC, DE","CD, EF",All the regions in the given graph,CH-1-21-ROW-22,b,,MCQ
1,Nature of Matter,Concept Application Level-1,,22,"A chromatogram of pure samples of food colours X, Y and Z is given in the following illustration 1. Three samples of same food materials A, B and C are analysed for purity, with the help of the chromatogram in illustration 2. Identify the impure sample.",A,B,C,A and C,CH-1-22-ROW-23,c,,MCQ
1,Nature of Matter,Concept Application Level-1,,23,Maximum intermolecular forces of attraction exists in,bromine,air,oxygen,copper,,d,,MCQ
