Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,Measurements,Assessment Test - I,,1,What would be the percentage of number of head scale divisions in main scale divisions of a screw gauge to get a least count of 0.01 mm?,10^5&,10^3&,10^4&,10^2&,,b,,MCQ
1,Measurements,Assessment Test - I,,2,Which of the following is larger unit of density?,g m^-3&,g km^-3&,kg m^-3&,g cm^-3&,,d,,MCQ
1,Measurements,Assessment Test - I,,3,Concave (or) convex meniscus of liquids is due to _________.,viscosity,cohesive force only,adhesive force only,cohesive and adhesive forces,,a,,MCQ
1,Measurements,Assessment Test - I,,4,A sphere is placed over a scale as shown in the figure. The radius of the sphere is _________ mm.,3,2,6,4,CH-1-4-ROW-5,d,,MCQ
1,Measurements,Assessment Test - I,,5,Which of the following is incorrect about a vernier caliper?,a,b,c,d,CH-1-5-ROW-6,a,,MCQ
1,Measurements,Assessment Test - I,,6,"While measuring the diameter of a sphere with a vernier caliper, the M.S.R and V.C.D were found to be 30 and 3 divisions, respectively. What is the radius of the sphere, if the number of vernier scale divisions is 10, and on the main scale, 1 cm is divided into 10 divisions?",1.515 cm,1.565 cm,1.515 mm,1.555 cm,,d,,MCQ
1,Measurements,Assessment Test - I,,7,"If the distance between two consecutive threads of a screw is 0.05 cm, then the number of rotations made by the tip of the screw to displace it by 2 cm is _________.",200,20,10,40,,c,,MCQ
1,Measurements,Assessment Test - I,,8,The length of an iron rod measured by a vernier calipers is 3.06 cm. Choose the value of the number of divisions on the vernier scale if the main scale division on it is 0.2 cm and the vernier scale reading is 6.,10,30,20,40,,b,,MCQ
1,Measurements,Assessment Test - I,,9,The distance between the two consecutive threads of the screw of a screw gauge is 2 mm and the number of head scale divisions is 50. What is the least count (in mm)?,0.04 cm,0.4 mm,0.04 mm,4 mm,,b,,MCQ
1,Measurements,Assessment Test - I,,10,Match the statements of Column A with those of Column B.,a,b,c,d,CH-1-10-ROW-11,b,,MCQ
1,Measurements,Assessment Test - I,,11,"The below figure shows the reading obtained while measuring the diameter of a wire with a screw gauge:
In the above screw gauge, the screw advances by 2 division on main scale when the circular head is rotated once. What is the area of cross section of the wire?",27.16 m^2&,27.16 x 10^3& m^2&,27.16 x 10^-6& m^2&,27.18 cm^2&,CH-1-11-ROW-12,c,,MCQ
1,Measurements,Assessment Test - I,,12,"A measuring jar has water level upto 10 mL. When ten identical spheres are immersed in it, the level rises to 50 mL. Then the radius of the sphere is _________.",A,B,C,D,CH-1-12-ROW-13,d,,MCQ
1,Measurements,Assessment Test - I,,13,"A screw gauge gives 3% error in the measurement of diameter of spherical object. Arrange the following steps in the sequential order to find the error that would occur in the measurement of its volume.
A) Find the percentage error in radius.
B) Use the formula for volume of a sphere.
C) Note the percentage error of diameter.
D) Find the percentage error in volume.",CABD,DBAC,CBDA,DACB,,a,,MCQ
1,Measurements,Assessment Test - I,,14,The thimble of a screw gauge has 100 divisions. The spindle advances 2 mm when the screw is turned through four revolutions. What is the least count of the screw gauge?,0.005 cm,0.005 cm,0.050 m,0.050 mm,,a,,MCQ
1,Measurements,Assessment Test - I,,15,"In a physical balance, the weight at HRP is 28.15 g. When 10 mg is added, the LRP is obtained. If MRP is 9 division, LRP is 7 divisions and ZRP is 8 divisions, the weight of the object is _________ g.",28.143,28.155,28.156,28.154,,c,,MCQ
1,Measurements,Assessment - Test- II,,1,What would be the percentage of vernier scale divisions in main scale divisions to get a least count 0.01 cm?,95%,99%,80%,99.90%,,c,,MCQ
1,Measurements,Assessment - Test- II,,2,Which of the following is not a unit of density?,kg m^–3&,kg L^–1&,g mL^–1&,g cm^-2&,,d,,MCQ
1,Measurements,Assessment - Test- II,,3,The principle of spring balance is _________.,Hooke’s law,Law of string,Law of length,None of these,,d,,MCQ
1,Measurements,Assessment - Test- II,,4,A wire is bent into a circle and placed over a scale. What is the length of the wire?,28.26 cm,0.45 cm,0.9 cm,4.08 cm,CH-1-4-ROW-20,a,,MCQ
1,Measurements,Assessment - Test- II,,5,"Of the following, which formula is suitable for measuring the length of a rod by using a venier caliper?",M.S.R + (V.C.D × L.C),P.S.R – C.S.R × L.C,M.S.R – (V.C.D × L.C),P.S.R + C.S.R × L.C,,d,,MCQ
1,Measurements,Assessment - Test- II,,6,"The least count of a vernier caliper is 0.01 cm and if the length of the
rod measured by it is 60.5 mm and observed vernier coincidence is 5,
then the division of main scale nearer to which zero division of vernier
lies is _________.",45,65,50,60,,a,,MCQ
1,Measurements,Assessment - Test- II,,7,The head of the screw gauge has 100 divisions. Its head advances 2 mm for one complete rotation. What is the distance advanced for the rotation of single division?,0.01 mm,0.05 mm,0.02 mm,0.02 cm,,d,,MCQ
1,Measurements,Assessment - Test- II,,8,"A microscope has divisions on its main scale and divisions on vernier scale. When an object is viewed through a microscope and its diameter is measured, it is found to be 28.24 cm. 1 M.S.D = 0.1 cm and number of vernier scale divisions is 10. The value of the vernier coincidence should be _________.",3,4,5,7,,b,,MCQ
1,Measurements,Assessment - Test- II,,9,The distance between two consecutive threads of the screw of a screw gauge is 1 mm and the least count of the screw gauge is 0.01 mm. What is the number of head scale division?,50,100,150,200,,c,,MCQ
1,Measurements,Assessment - Test- II,,10,Match the statements of Column A with those of Column B.,a,b,c,d,CH-1-10-ROW-26,c,,MCQ
1,Measurements,Assessment - Test- II,,11,"In a screw gauge, when a movable stud is in contact with a fixed stud, the 44^th& division of the head scale is found to be on the index line. If the pitch scale is calibated in mm with a pitch of 1 mm and number of divisions on the head scale is 50, then the zero correction is _________ mm.",+1.2,-1.2,+0.12,-0.12,,c,,MCQ
1,Measurements,Assessment - Test- II,,12,"The diameter of a sphere measured by using a screw gauge is 1.4 cm. When a certain number of such spheres are dropped into water, the volume of water displaced is 14.7 mL. What is the number of spheres dropped?",25,15,20,10,,b,,MCQ
1,Measurements,Assessment - Test- II,,13,"What is the correct order of steps to find the ratio of masses of two substances when the density of one substance is double that of the other and the volume of second substance is 1/π times the first one?
A) Find the percentage error in radius.
B) Use the formula of volume of a sphere.
C) Note the percentage error of diameters.
D) Find the percentage error in volume.",CABD,DBAC,CBDA,DABC,,a,,MCQ
1,Measurements,Assessment - Test- II,,14,"If 20 divisions of a vernier scale = 18 M.S.D, and 1 M.S.D = 0.1 cm, then the least count is _________.",0.1 mm,0.01 mm,0.001 cm,0.001 mm,,a,,MCQ
1,Measurements,Assessment - Test- II,,15,"In a physical balance for a weight 24.23 g, the resting point was found to be 7.5. When 10 mg is removed, the resting point was 12.0. The ZRP of the physical balance is 10.0. What is the most accurate mass of the substance (in g)?",24.3,24.2322,24.2244,24.3244,,b,,MCQ
2,Kinematics,Assessment Test - I,,1,"What is the value of the horizontal component of the initial velocity of a projectile, projected with velocity 30 m s^–1& at an angle of 60^0& with the horizontal at the maximum height?",a,b,c,d,CH-2-1-ROW-32,c,,MCQ
2,Kinematics,Assessment Test - I,,2,"Two particles of masses m and m/2 are moving along the circular paths of radii r and 3r, respectively, with equal speed. What is the ratio of their accelerations?",1 : 1,1 : 3,3 : 1,2 : 1,,c,,MCQ
2,Kinematics,Assessment Test - I,,3,"A bus travels the first one third distance at a speed of 20 km h^–1&, and the next two-third distance at a speed of 30 km h^–1&. What is the average velocity of the bus?",50 km h^–1&,25.7 m s^–1&,7.14 km h^–1&,7.14 m s^–1&,,d,,MCQ
