ChapterName,TestNumber,QuestionNumber,QuestionDescription,Option1,Option2,Option3,Option4,Image?
Measurements and Kinematics,Assessment Test I,1,"Asserattion (A) : The mass of body decreases as it moves to higher altitudes.
Reason ( R) : The value off a g decrease as we move to higher altitudes.",A and R are true and R is the correct explanation of A.,"A and R are true, but R is not the correct explanation of A.",A is true but R is false,Both A and R are false,
Measurements and Kinematics,Assessment Test I,2,"Asserattion (A) : The SI unit of acceleratin is m  s-2  
Reason ( R) : Acceleration is the rate of change in velocity.",A and R are true and R is the correct explanation of A.,"A and R are true, but R is not the correct explanation of A.",A is true but R is false,Both A and R are false,
Measurements and Kinematics,Assessment Test I,3,"Arrange the following steps in the proper sequences to calculate the volume of an irregular-shaped stone.
(A) Immerse the stone intto the vessel and note the difference in the volume of the liquid.
(B) Take a stone (irregular shaped) and a measuring cylindrical jar.
(C) Pour a liquid like water into the jar and note the volume of the liquid.
(D) The volume of the stone is equal to the increase in the volume of the liquid.",ABCD,BCAD,DBCA,DCBA,
Measurements and Kinematics,Assessment Test I,4,"A hockey player hits the ball moving with a speed of 50 m s-1 in its same direction. 
Because of this the velocity increases to 60 m s-1  in 0.1s. 
Arrange the following steps in sequential order to calculate the acceleration of the ball.
(A) Find the initial volicity of the ball and the velocity of the ball at the end of 0.1s. After it is being hit.
(B) Write down the required equation of motion as υ = u+at, where υ, u, a and t are final velocity, initial velocity, acceleration and time, respectively.
(C) Substitute the given values in the above equation and obtain the value of a.
(D) Get the value of a as υ = u(υ- u)/1",ABCD,BDAC,DBAC,ADBC,
Measurements and Kinematics,Assessment Test I,5,"Match the statements of Colums A with those of Column B
(A) Physical quantity          (a) Volume of a drop of liquid
(B) Burette                         (b) Measurable Quantity
(C) Instataneous speed       ( c) Rate of change of velocity
(D) Acceleratio                   (d) m s-1",A →b;  B→a;  C→d;  D→c,A→a;  B→b;  C→c;  D→d,A→d; B→c; C→b; D→a,A→d; B→c; C→a; D→b,
Measurements and Kinematics,Assessment Test I,6,"For a given vernier caliper, one M.S.D.= 1/10 cm and the number of divisions of vernier scale is=20. What is 
the least count of the vernier caliper ?",0.05cm,0.5mm,0.05mm,0.02cm,
Measurements and Kinematics,Assessment Test I,7,One Centimeter of main scale of  vernier caliper is divided into 10 equal parts. M.S.R. and V.C.D. observed while measuring the length of the object is ______mm. (Take number of ,4.3,3.4,3.04,4.03,
Measurements and Kinematics,Assessment Test I,8,The CGS unit of average speed is ___________,m s-1,cm s-1,ft s-1,km h-1,
Measurements and Kinematics,Assessment Test I,9,The density of gold is 19 g  .Then the rrelattive density is ___________.,19/1000 kg m,19000 kg m-1,19,19/1000,
Measurements and Kinematics,Assessment Test I,10,"A car is moving with 120 km h-1. On seeing a speed breaker, the driver applies the brakes and stops the car in 4s. What is the value of the deceleration produced in the car is _________ m s-1",175/5,8 1/3,25/3,25/3,
Measurements and Kinematics,Assessment Test I,11,An athlete completes running track of length 330 m in 40 s and comes back to his original position. Find the average velocity of the athlete.,5 m s-1,0 m s-1,33/4 ms-1,33/2 ms-1,
Measurements and Kinematics,Assessment Test I,12,"An aeroplane is moving with a uniform velocitty of 800km h-1, then its _________.",average velocity is 800 km h-1,instantaneous velocity is 800 km h-1,acceleration is zero,displacement is zero,
Measurements and Kinematics,Assessment Test I,13,A car travel the first hour with 50 km h-1 and the second hour with 100 km h-1. What is the average speed of the car ?,120 km h-1,100 km h-1,150 km h-1,75 km -1,
Measurements and Kinematics,Assessment Test I,14,"A body travel 100 m in 10 s. Then,
(A) the average velocity of the body is 10 ms-1 only when the body travels in a straight path.
(B) the average speed of the body is 10 ms-1 irrespective of its direction of motion.",Only A is true.,Only B is true,Both A and B are true.,Both  A are B are false.,
Measurements and Kinematics,Assessment Test I,15,A bus starts from the rest and moves with uniform accelerration 2 ms -2 for 10 s. The average velocity of the bus is ___________,10 ms-1,20 ms -1,0 ms -1,40 ms-1,
Measurements and Kinematics,Assessment Test II,1,"Asseration (A) : The mass of a body remains the same everywhere in the universe
Reason ( R) Mass is the inherent property of the body.",A and R are the true R is the correct explanation of A.,"A and R are true, R is not the correct explanation of A.",A is true but R is false.,Both A and R are false.,
Measurements and Kinematics,Assessment Test II,2,"Asseration (A) : The average speed of the vehicle is equal to the average velocity of the vehicle
Reason ( R) The vehicle is moving in a straight path.",A and R are the true R is the correct explanation of A.,"A and R are true, R is not the correct explanation of A.",A is true but R is false.,Both A and R are false.,
Measurements and Kinematics,Assessment Test II,3,"Arrange the following steps in the proper sequences to find the radious of a metalic sphere using standard vernier caliper.
(A) Note M.S.R and V.S.R from the given data.
(B) Place the metalic sphere between the jaw of a vernier caliper.
( C) Here daimeter, (D)= M.S.R.+ ( V.S.R x L.C)
(D) Substitute the values and obtain the diameter of the sphere.
(E) The radius of the metalic sphere is equal to half the diameter.",BACDE,EABCD,AEDCB,DECAB,
Measurements and Kinematics,Assessment Test II,4,"An MMTS train moving with 90 km-1 speed retards uniformly and comes to a halt by covering 200m. Arrange the following steps in sequential order to calculate the time taken by the train to comde to a halt.
(A) Substitute the value of u,v and s in the above formula.
(B) Write down the given data and convert the values into SI system of unit.
( C) Write the equation of motion u+v/2 =s/t, where u,v,s and i are initial velocity, final velocity, displacement and time taken, respectively.
(D) Obtain the value of t.",DABC,BCAD,BCDA,CABD,
Measurements and Kinematics,Assessment Test II,5,"Match the statement of Column A with those of Column B.
(A) Derived quantity                               (a) Ampere (A)
(B) Displacement                                    (b) Hardware shop
( C) Roman steel yard                             ( c) Vector quantity
(D) Fundamental unit                              (d) Velocity.",A→d; B→c; C→b; D→a,A→a; B→d; C→d; D→c,A→b; B→a; C→d; D→b,A→b; B→d; C→a; D→c,
Measurements and Kinematics,Assessment Test II,6,"While measuring the length of an object, using vernier caliper, the M.S.R and V.C.D. were observed to be 22 and 8, respectively. If M.S.D. =1/2 mm and L.C = 0.05 mm, the length of the object is ________.",0.14,1.14 mm,11.4 mm,11.4 mm,
Measurements and Kinematics,Assessment Test II,7,"In a vernier caliper, 2 cm on main scale is divided into 20 equal parts and 1V.S.D is equal to 0.9 mm. What is the least count of the vernier caliper ?",0.1cm,0.1mm,1 mm,0.01 mm,
Measurements and Kinematics,Assessment Test II,8,The CGS unit of amount of substance of _______.,Mol,Kelvin,Candela,non- exitent,
Measurements and Kinematics,Assessment Test II,9,A stone of density 6 g cm-3  can be used as a sinker in a liquid of density_________.,11X 103 kg -3,7 g cm-3,2000 kg m-3,6000 kg m-3,
Measurements and Kinematics,Assessment Test II,10,A ball is rolling with a velocity 20 ms -1 on a cement floor and stops in 10s. What is the acceleration produced in the ball ?, -20 m s-2, - 200 m s-2, -2 m s-2, + 20 m s-2,
Measurements and Kinematics,Assessment Test II,11,A fan blade of length 1/3m moving with uniform velocity makes 1000 rotations in 20s. Calculate the average velocity of the fan at the end of 20s.,0 m s-1,50 m s-1,50 π m s-1 ,1/3  π m s-1,
Measurements and Kinematics,Assessment Test II,12,"A toy car moves along the length and breadth of a rectangle as shown in the figure given below. If the length of the rectangle is 4m, then find the ratio of displacement to distance covered by the car.",,,,,X
